year,id,pap_majortopic,pap_subtopic,majortopic,subtopic,description,words
1972,3030,7,700,7,700,"Although the President cannot move until and unless Congress passes laws in many of these areas, he nevertheless can act√≠√Øand has acted√≠√Øforcefully on many fronts:",25
1972,3031,7,700,7,700,He has directed the Federal Government to practice ecological leadership by using low-lead gasoline and recycled paper.,17
1972,3032,7,700,7,700,"He has cracked down on flagrant polluters, greatly increasing prosecutions and making the first use of Federal authority to shut down major industries during an air pollution crisis.",28
1972,3033,7,711,7,711,The fragile and unique Everglades were saved from a jetport.,10
1972,3034,7,704,7,704,Pesticide abuses were curtailed.,4
1972,3035,7,705,7,705,"Strict new clean air standards were set, and in many urban centers the air is improving.",16
1972,3036,7,705,7,705,"Regulations were issued to make one grade of lead-free and phosphorous-free gasoline available throughout the Nation by July 1, 1974, and a phased reduction was required in the lead content of regular and premium gasolines.",35
1972,3037,7,705,7,705,Auto makers were required to design air pollution control systems to assure that vehicles comply with Federal emission standards throughout their usual life.,23
1972,3048,7,700,7,700,We call upon the Congress to act promptly on the President's environmental proposals still stalled there more than 20 in all.,21
1972,3049,7,703,7,703,"These include:Legislation to control, and in some cases prohibit, the dumping of wastes into the oceans, estuaries and the Great Lakes;",21
1972,3050,7,705,7,705,"A Federal Noise Control Act to reduce and regulate unwanted sound from aircraft, construction and transportation equipment;",17
1972,3051,7,704,7,704,Authority to control hundreds of chemical substances newly marketed each year;,11
1972,3054,7,709,7,709,A proposal to provide for early identification and protection of endangered wildlife species.,13
1972,3055,7,709,7,709,"This would, for the first time, make the taking of endangered species a Federal offense;",15
1972,3058,7,705,7,705,"We are not going to abandon the automobile, but we are going to have a clean burning engine.",18
1972,3060,7,707,7,707,"We are not going to be able to do without containers for our foods and materials, but we can improve them and make them reusable or biodegradable.",27
1972,3061,7,700,7,700,We pledge a workable balance between a growing economy and environmental protection.,12
1972,3062,7,700,7,700,We will resolve the conflicts sensibly within that framework.,9
1972,3063,7,700,7,700,"We commit ourselves to comprehensive pollution control laws, vigorous implementation of those laws and rigorous research into the technological problems of pollution control.",23
1972,3064,7,700,7,700,The beginnings we have made in these first years of the 1970's are evidence of our determination to follow through.,20
1972,3065,7,700,7,700,"We intend to leave the children of America a legacy of clean air, clean water, vast open spaces and easily accessible parks.",22
1972,3066,7,709,7,709,"Wilderness areas, forests, fish and wildlife are precious natural resources.",10
1972,3067,7,711,7,711,"We have proposed 36 new wilderness areas, adding another 3.6 million acres to the National Wilderness Preservation System.",18
1972,3068,7,709,7,709,We have made tough new proposals to protect endangered species of wildlife.,12
1972,3072,7,709,7,709,We recognize and commend the humane societies and the animal welfare societies in their work to protect animals.,18
1972,3073,7,711,7,711,Water supplies are not a boundless resource.,7
1972,3095,7,710,7,701,Protect the oceans from pollution through the creation of binding domestic and international legal and institutional arrangements;,17
1972,3099,7,709,7,709,Protect and conserve marine mammals and other marine species to ensure their abundance and especially to protect species whose survival is endangered;,22
1972,3117,7,707,7,707,The quantities of metals and minerals needed to maintain our economic health and living standards are so huge as to require the re-use of all recoverable commodities from solid waste materials.,31
1972,3118,7,707,7,707,"We pledge a vigorous program of research and development in order to seek out more economical methods to recover and recycle such commodities, including the processing of municipal solid wastes.",30
1976,3466,7,700,7,700,The beauty of our land is our legacy to our children.,11
1976,3467,7,700,7,700,It must be protected by us so that they can pass it on intact to their children.,17
1976,3562,7,700,7,700,"Since farmers are practicing conservationists, they should not be burdened with unrealistic environmental regulations.",14
1976,4049,7,700,7,700,A clean and healthy natural environment is the rightful heritage of every American.,13
1976,4050,7,700,7,700,"In order to preserve this heritage, we will provide for proper development of resources, safeguards for clean air and water, and protection and enhancement of our recreation and scenic areas.",30
1976,4051,7,700,7,700,"As our environmental sophistication grows, we must more clearly define the role of the federal government in environmental protection.",19
1976,4052,7,798,7,798,We believe that it is a national responsibility to support scientific and technological research and development to identify environmental problems and arrive at solutions.,24
1976,4053,7,705,7,705,We are in complete accord with the recent Supreme Court decision on air pollution that allows the level of government closest to the problem and the solution to establish and apply appropriate air quality standards.,35
1976,4054,7,700,7,700,"We are proud of the progress that the current Republican Administration has made toward bringing pollution of water, land and air under control.",23
1976,4055,7,700,7,700,We will meet the challenges that remain by stepping up efforts to perfect our understanding of pollutants and the means for reducing their effects.,24
1976,4056,7,700,7,700,"Moreover, as the nation develops new energy sources and technologies, we must insure that they meet safe environmental standards.",19
1976,4060,7,700,7,700,"We support establishment of a presidential panel, including representatives of environmental groups, industry, the scientific community and the public to assist in the development of national priorities on environmental and energy issues.",32
1976,4061,7,700,7,700,"This panel will hear and consider alternative policy recommendations set forth by all of the interested groups, and then develop solutions that represent the overall public interest on environmental and energy matters.",32
1976,4064,7,700,7,700,"We must recognize that our material blessings stem from what we grow in the soil, take from the sea, or extract from the ground.",24
1976,4065,7,700,7,700,We have a responsibility to future generations to conserve our non-renew-able natural resources.,13
1976,4066,7,700,7,700,"Consistent with our needs, conservation should remain our national policy.",10
1976,4072,7,700,7,700,We also believe that Americans are realistic and recognize that the emphasis on environmental concerns must be brought into balance with the needs for industrial and economic growth so that we can continue to provide jobs for an ever-growing work force.,41
1976,4090,7,707,7,707,"Finally, we support new initiatives to utilize better the recoverable commodities from solid waste materials.",15
1976,4091,7,707,7,707,We can no longer afford the luxury of a throw-away world.,11
1976,4092,7,707,7,707,"Recycling offers environmental benefits, economic expansion, resource conservation and energy savings.",11
1976,4093,7,707,7,707,We support a policy which will reward recycling and economic incentives which will encourage its expansion.,16
1980,5137,7,711,7,711,Voluntary participation with adequate incentives is essential to the effective conservation of our soil and water resources.,17
1980,5309,7,704,7,704,Nuclear power development requires sound plans for nuclear waste disposal and storage and reprocessing of spent fuel.,17
1980,5310,7,704,7,704,"Technical solutions to these problems exist, and decisive federal action to choose and implement solutions is essential.",17
1980,5311,7,704,7,704,The Democratic-controlled Congress and Administration have failed to address the spent fuel problem.,13
1980,5312,7,704,7,704,A Republican Congress and Administration will immediately begin to implement plans for regional away-from-reactor storage of spent fuel with the goal of implementation of a program no later than 1984.,30
1980,5313,7,704,7,704,Republicans are committed to the rapid development of permanent storage facilities for nuclear wastes.,14
1980,5314,7,704,7,704,"Since waste disposal is a national responsibility, no state should bear an unacceptable share of this responsibility.",17
1980,5318,7,700,7,700,"Clean air, water, waste disposal, mine reclamation, and leasing rules must be made rational and final to accelerate private investment.",20
1980,5334,7,700,7,700,Virtually all major environmental legislation in the past decade reflected a bipartisan concern over the need to maintain a clean and healthful environment.,23
1980,5335,7,700,7,700,"While the new environmental policies have resulted in improving air quality, cleaner waters, and more careful analysis of toxic chemicals, the price paid has far exceeded the direct and necessary cost of designing and installing new control technology.",38
1980,5352,7,700,7,700,The Republican Party reaffirms its long-standing commitment to the conservation and wise management of America's renewable natural resources.,18
1980,5353,7,700,7,700,"We believe that a healthy environment is essential to the present and future well-being of our people, and to sustainable national growth.",22
1980,5354,7,700,7,700,The nature of environmental pollution is such that a government role is necessary to ensure its control and the proper protection of public health.,24
1980,5355,7,700,7,700,"Much progress has been made in achieving the goals of clean air, clean water, and control of toxic wastes.",19
1980,5356,7,700,7,700,"At the same time, we believe that it is imperative that environmental laws and regulations be reviewed and, where necessary, reformed to ensure that the benefits achieved justify the costs imposed.",31
1980,5357,7,700,7,700,"Too often, current regulations are so rigid and narrow that even individual innovations that improve the environment cannot be implemented.",20
1980,5358,7,700,7,700,"We believe, in particular, that regulatory procedures must be reformed to expedite decisionmaking.",13
1980,5359,7,700,7,700,Endless delay harms both the environment and the economy.,9
1980,5360,7,700,7,700,"We strongly affirm that environmental protection must not become a cover for a ""no-growth"" policy and a shrinking economy.",19
1980,5361,7,700,7,700,Our economy can continue to grow in an acceptable environment.,10
1980,5362,7,711,7,711,We believe that agricultural policy should give emphasis to the stewardship of the nation's soil and water resources.,18
1980,5363,7,711,7,711,The permanent loss of productive farm land is a growing problem and we encourage states and local communities to adopt policies that help maintain and protect productive agricultural land as a national asset.,33
1984,6172,7,704,7,704,"We now have a sound, long-term program for disposal of nuclear waste.",12
1984,6258,7,711,7,711,"The soil and water stewardship of our farmers, ranchers, watermen, and rural people is commendable.",15
1984,6259,7,700,7,700,"Republicans believe that long-term soil, water, and other conservation policies, emphasizing environmentally sound agricultural productivity, rangeland protection, fish and wildlife habitat, and balanced forestry management, must be a top priority.",30
1984,6260,7,700,7,700,Conservation practices must be intensified and integrated with farm programs to safeguard our most valuable resources.,16
1984,6261,7,700,7,700,"Volunteer participation, emphasizing State and local control and adequate incentives, is essential to effective conservation.",15
1984,6452,7,700,7,700,"It is part of the Republican philosophy to preserve the best of our heritage, including our natural resources.",18
1984,6453,7,700,7,700,The environment is not just a scientific or technological issue;,10
1984,6454,7,700,7,700,it is a human one.,5
1984,6455,7,700,7,700,Republicans put the needs of people at the center of environmental concerns.,12
1984,6456,7,700,7,700,We assert the people's stewardship of our God-given natural resources.,10
1984,6457,7,700,7,700,"We pledge to meet the challenges of environmental protection, economic growth, regulatory reform, enhancement of our scenic and recreational areas, conservation of our non-renewable resources, and preservation of our irreplaceable natural heritage.",32
1984,6458,7,700,7,700,Americans were environmentalists long before it became fashionable.,8
1984,6459,7,700,7,700,Our farmers cared for the earth and made it the world's most bountiful.,13
1984,6460,7,700,7,700,Our families cared for their neighborhoods as an investment in our children's future.,13
1984,6461,7,700,7,700,"We pioneered the conservation that replenished our forests, preserved our wildlife, and created our national park system.",17
1984,6462,7,700,7,700,The American people have joined together in a great national effort to protect the promise of our future by conserving the rich beauty and bounty of our heritage.,28
1984,6463,7,700,7,700,"As a result, by almost any measure, the air is cleaner than it was 10 years ago, and fish are returning to rivers where they had not been seen for generations.",31
1984,6464,7,711,7,711,"Within the last four years, dramatic progress has been made in protecting coastal barrier islands, and we began the Park Preservation and Restoration Program to restore the most celebrated symbols of our heritage.",33
1984,6465,7,710,7,701,"We support programs to restore and protect the nation's estuaries, wetland resources, and beaches.",14
1984,6466,7,704,7,704,The Republican Party endorses a strong effort to control and clean up toxic wastes.,14
1984,6467,7,700,7,700,"We have already tripled funding to clean up hazardous waste dumps, quadrupled funding for acid rain research, and launched the rebirth of the Chesapeake Bay.",25
1984,6468,7,700,7,700,The environmental policy of our nation originated with the Republican Party under the inspiration of Theodore Roosevelt.,17
1984,6469,7,700,7,700,We hold it a privilege to build upon the foundation we have laid.,13
1984,6470,7,700,7,700,The Republican Party supports the continued√≠_ commitment to clean air and clean water. [p.27],14
1984,6471,7,700,7,700,This support includes the implementation of meaningful clean air and clean water acts.,13
1984,6472,7,705,7,705,"We will continue to offer leadership to reduce the threat to our environment and our economy from acid rain, while at the same time preventing economic dislocation.",27
1984,6473,7,700,7,700,"Even as many environmental problems have been brought under control, new ones have been detected.",15
1984,6475,7,700,7,700,Continued progress will be much more difficult.,7
1984,6476,7,700,7,700,"The environmental challenges of the 1980s are much more complex than the ones we tried to address in the 1970s, and they will not yield quickly to our efforts.",29
1984,6477,7,700,7,700,"As the science and administration of environmental protection have become more sophisticated, we have learned of many subtle and potentially more dangerous threats to public health and the environment.",29
1984,6478,7,700,7,700,"In setting out to find solutions to the environmental issues of the 1980s and 1990s, we start with a healthy appreciation of the difficulties involved.",25
1984,6479,7,700,7,700,"Detecting contamination, assessing the threat, correcting the damage, and setting up preventive measures, all raise questions of science, technology, and public policy that are as difficult as they are important.",30
1984,6480,7,700,7,700,"However, the health and well being of our citizens must be a high priority.",14
1984,6481,7,701,7,701,The number of people served by waste water treatment systems has nearly doubled just since 1970.,16
1984,6482,7,703,7,703,The federal government should offer assistance to State and local governments in planning for the disposal of solid and liquid wastes.,21
1984,6483,7,703,7,703,A top priority nationwide should be to eliminate the dumping of raw sewage.,13
1984,6484,7,707,7,707,We encourage recycling of materials and support programs which will allow our economic system to reward resource conservation.,18
1984,6485,7,700,7,700,We also commit ourselves to the development of renewable and efficient energy sources and to the protection of endangered or threatened species of plants and wildlife.,26
1984,6486,7,700,7,700,"We will be responsible to future generations, but at the same time, we must remember that quality of life means more than protection and preservation.",25
1984,6937,7,700,7,700,It will also unleash the creative talents of free enterprise in defense of resource and environmental protection.,17
1988,8476,7,711,7,711,Sound stewardship of our land and water resources is important for this and future generations.,15
1988,8477,7,711,7,711,The soil and water resources of our nation must provide profit for farmers and ranchers and a safe and wholesome food [p.59] supply.,23
1988,8566,7,700,7,700,The Republican Party has a long and honored tradition of preserving our nation's natural resources and environment.,17
1988,8567,7,700,7,700,"We recognize that the preservation, conservation, and protection of our environment contribute to our health and well-being and that, as citizens, we all share in the responsibility to safeguard our God-given resources.",32
1988,8568,7,700,7,700,"A great Republican President, Teddy Roosevelt, once characterized our environmental challenge as ""the great central task of leaving this land even a better land for our descendants than it is for us.""",32
1988,8569,7,700,7,700,Satisfying this imperative requires dedication and a commitment both to the protection of our environment and to the development of economic opportunities for all through a growing economy.,28
1988,8570,7,700,7,700,Republicans have led the efforts to protect the environment.,9
1988,8571,7,708,7,708,¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We have dramatically reduced airborne lead contamination.,9
1988,8572,7,708,7,708,This reduction has been perhaps the most important contribution to the health of Americans living in urban areas.,18
1988,8573,7,705,7,705,"¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ By almost any measure, the air is vastly improved from the 1970s.",14
1988,8574,7,705,7,705,"Carbon monoxide, sulphur dioxide, ozone, nitrogen dioxide, and other emissions have declined substantially.",13
1988,8575,7,705,7,705,¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We brought record numbers of enforcement cases against toxic polluters based on the principle that polluters should pay for the damages they cause.,25
1988,8576,7,705,7,705,"¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We pioneered an international accord for the protection of the stratospheric ozone layer, the first such international agreement.",20
1988,8577,7,710,7,701,"¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ Dramatic progress has been made in protecting coastal barrier islands, in reducing coastal erosion, and in protecting estuaries.",20
1988,8578,7,710,7,701,"¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We have led the fight to clean up our Great Lakes and the Chesapeake and Narragansett Bays, some of the most unique and productive ecosystems on earth.",29
1988,8579,7,700,7,700,"[p.66] ¬å¬´√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We encouraged agricultural conservation, enhanced our wetlands, and preserved and restored our National Parks, which had suffered tragic neglect in the years preceding the Reagan-Bush Administration.",28
1988,8580,7,711,7,711,"¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ Under Republican leadership, the most important soil conservation measure of the last half-century became law as the Conservation Title of the 1985 Farm Bill.",26
1988,8581,7,709,7,709,¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We established 34 national wildlife refuges in 21 States and territories.,13
1988,8582,7,700,7,700,¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We reformed U.S. and international aid programs to assist developing nations to assure environmental protection.,17
1988,8583,7,700,7,700,Republicans look to the environmental future with confidence in the American people and with a renewed commitment to world leadership in environmental protection.,23
1988,8584,7,700,7,700,We recognize the necessary role of the federal government only in matters that cannot be managed by regional cooperation or by levels of government closer to the people.,28
1988,8585,7,700,7,700,"Cooperative action by all is needed to advance the nation's agenda for a cleaner, safer environment.",16
1988,8586,7,700,7,700,The toughest challenges lie ahead of us.,7
1988,8587,7,700,7,700,Republicans propose the following program for the environment in the 1990s:,11
1988,8588,7,700,7,700,¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We will work for further reductions in air and water pollution and effective actions against the threats posed by acid rain.,23
1988,8589,7,700,7,700,These goals can and must be achieved without harmful economic dislocation.,11
1988,8590,7,704,7,704,¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We are committed to minimizing the release of toxins into the environment.,14
1988,8592,7,710,7,701,"¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We support a comprehensive plan of action to fight coastal erosion and to protect and restore the nation's beaches, coral reefs, bodies of water, wetlands and estuaries such as the Louisiana coast, Chesapeake Bay, the Great Lakes, San Francisco Bay, Puget Sound, Narragansett Bay, and other environmentally sensitive areas.",51
1988,8593,7,710,7,701,The restoration of these areas will continue to be a priority.,11
1988,8596,7,709,7,709,"We support efforts, including innovative public-private partnerships, to restore declining waterfowl populations and enhance recreational fisheries.",16
1988,8597,7,709,7,709,[p.67] ¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We will fight to protect endangered species and to sustain biological diversity wordwide.,16
1988,8598,7,711,7,711,"¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We support federal, State, and local policies, including tax code provisions, which lead to the renewal and revitalization of our environment through restoration and which encourage scenic easements designed to preserve farmland and open spaces.",37
1988,8603,7,700,7,700,¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We support strong enforcement of our environmental laws and will accelerate the pace of our national effort to clean up hazardous waste sites and to protect our groundwater.,30
1988,8604,7,701,7,701,We will promote proper use of fertilizers and pesticides to minimize pollution of groundwater.,14
1988,8605,7,704,7,704,¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ Republicans recognize that toxic and hazardous waste production is increasing.,12
1988,8606,7,704,7,704,"Therefore, we will utilize the nation's scientific community to develop solutions to this waste disposal dilemma as an alternative to the continued burying, exporting, and ocean dumping of these dangerous substances, as they are no more than stop-gap measures with extremely tragic potential.",43
1988,8607,7,704,7,704,¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We are committed to solving our country's increasing problem of waste disposal.,14
1988,8608,7,704,7,704,"By 1995, half of our existing landfills will be closed, and municipalities will have increased difficulty finding new sites.",19
1988,8609,7,704,7,704,"This is an issue which will require the dedication and resolve of our local communities, the private sector, and all of us as citizens.",24
1988,8610,7,704,7,704,"Resource recovery, recycling, and waste minimization are critical elements of our solution, and we will work to ensure that innovative approaches to the problem are encouraged.",26
1988,8611,7,710,7,701,¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We are determined to prevent dumping off our coasts and in international waters.,15
1988,8612,7,710,7,701,"Ocean dumping poses a hazard not only to marine life, but also to those who live along our coasts and to those who use them for recreation.",27
1988,8613,7,710,7,701,"Where federal laws have been violated, we will [p.68] prosecute polluters to the full extent of the law, including adherence to the 1991 federal ban on ocean dumping of sewage sludge.",31
1988,8614,7,710,7,701,"Where laws need to be strengthened, we will work at the federal, State, and local levels to do so.",19
1988,8615,7,704,7,704,¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We will support all serious efforts to cope with the special problems of illegal dumping of hospital and medical waste.,22
1988,8616,7,704,7,704,We pledge close cooperation by the Environmental Protection Agency with States and industry groups to develop new approaches to the most cost-effective means for the safe disposal by responsible medical facilities.,31
1988,8617,7,704,7,704,"Those who continue to dump illegally threaten the very life and health of our communities, and we call for enactment by the States of tough new felony laws that will permit swift prosecution of these criminals.",36
1988,8618,7,700,7,700,¬å¬´ √≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_√≠_ We will require that federal departments and agencies meet or exceed the environmental standards set for citizens in the private sector.,23
1988,8619,7,700,7,700,Many of the most serious environmental problems that will confront us in the years ahead are global in scope.,19
1988,8620,7,705,7,705,"For example, degradation of the stratospheric ozone layer poses a health hazard not only to Americans, but to all peoples around the globe.",23
1988,8621,7,705,7,705,The Reagan-Bush Administration successfully pioneered an agreement to attack this problem through world-wide action.,14
1988,8622,7,705,7,705,"In addition, we will continue to lead this effort by promoting private sector initiatives to develop new technologies and adopt processes which protect the ozone layer.",26
1988,8623,7,700,7,700,"A similar ability to develop international agreements to solve complex global problems such as tropical forest destruction, ocean dumping, climate change, and earthquakes will be increasingly vital in the years ahead.",31
1988,8624,7,700,7,700,All of these efforts will require strong and experienced leadership to lead the other nations of the world in a common effort to combat ecological dangers that threaten all peoples.,30
1988,8625,7,700,7,700,"The Republican Party believes that, toward this end, the National Oceanic and Atmospheric Administration should be joined with the Environmental Protection Agency.",22
1988,8626,7,700,7,700,We all have a stake in maintaining the environmental balance and ecological health of our planet and our country.,19
1988,8627,7,700,7,700,"As Republicans, we hold that it is of critical importance to preserve our national heritage.",15
1988,8628,7,700,7,700,We must assure that programs for economic growth and opportunity sustain the natural abundance of our land and waters and protect the health and well-being of our citizens.,28
1988,8629,7,700,7,700,"As a nation, we should take pride in our accomplishments and look forward to fulfilling our obligation of leaving this land an even better place for our children and future generations. [p.69]",32
1992,10337,7,711,7,711,"While supporting conservation, we reject the notion that there are limits to growth.",13
1992,10385,7,711,7,711,"We support farm conservation efforts, both those pioneered in our 1985 Farm Bill and entirely voluntary undertakings, which result in three times as much erosion control as those mandated by law.",31
1992,10386,7,711,7,711,"We support the Conservation Reserve, with more than 35 million acres now enrolled.",13
1992,10387,7,711,7,711,It shows what farmers can do through incentives rather than government controls.,12
1992,10388,7,709,7,709,We value our Nation's real wetlands habitat and the diversity of our native animal and plant life.,17
1992,10389,7,709,7,709,"We oppose, however, bureaucratic harassment of farm, ranch, and timber families under statutes regarding endangered species and wetlands.",18
