year,id,pap_majortopic,pap_subtopic,majortopic,subtopic,description,filter_democrat,words
1956,1033,7,711,7,711,The Democratic Party pledges itself to conservation of water in the public interest.,1,13
1956,1034,7,711,7,711,The Democratic 84th Congress has taken a long step toward reducing the pollution of our rivers and streams.,1,18
1956,1035,7,711,7,711,"We pledge continuation and expansion of this program, vital to every citizen.",1,12
1956,1036,7,701,7,701,"The program of obtaining a large new source of fresh water supply from salt water was begun by the Democratic Party, but has been allowed to lapse by the Eisenhower Republican Administration.",1,32
1956,1037,7,701,7,701,It will be resumed and accelerated.,1,6
1956,1049,7,709,7,709,"We will undertake comprehensive scientific and economic research programs for the conservation and better utilization of, and new markets for, fishery products.",1,22
1956,1050,7,709,7,709,We favor and will encourage reciprocal world trade in fish products.,1,11
1956,1051,7,709,7,709,We pledge ourselves to a public works and water policy providing adequate protection for domestic fishery resources.,1,17
1956,1053,7,799,7,799,"To the end that the scenic beauty of our land may be preserved and maintained for this and future generations to enjoy, we pledge accelerated support of educational programs to stimulate individual responsibility and pride in clean, attractive surroundings√≠√Øfrom big cities to rural areas.",1,44
1960,1428,7,700,7,700,"We repudiate the Republican administration of the Soil Bank Program, which has emphasized the retirement of whole farm units, and we pledge an orderly land retirement and conservation program.",1,29
1960,1570,7,700,7,700,Yet there are other pressing needs on our national agenda.,1,10
1960,1571,7,700,7,700,"A thin layer of earth, a few inches of rain, and a blanket of air make human life possible on our planet.",1,22
1960,1572,7,700,7,700,Sound public policy must assure that these essential resources will be available to provide the good life for our children and future generations.,1,23
1960,1589,7,700,7,700,America can no longer take pure water and air for granted.,1,11
1960,1590,7,700,7,700,Polluted rivers carry their dangers to everyone living along their courses;,1,11
1960,1591,7,705,7,705,impure air does not respect boundaries.,1,6
1960,1592,7,700,7,700,"Federal action is needed in planning, coordinating and helping to finance pollution control.",1,13
1960,1593,7,700,7,700,The states and local communities cannot go it alone.,1,9
1960,1594,7,703,7,703,Yet President Eisenhower vetoed a Democratic bill to give them more financial help in building sewage treatment plants.,1,18
1960,1595,7,703,7,703,A Democratic President will sign such a bill.,1,8
1960,1596,7,705,7,705,"Democrats will step up research on pollution control, giving special attention to:1. the rapidly growing problem of air pollution from industrial plants, automobile exhausts, and other sources, and",1,28
1960,1597,7,704,7,704,"2. disposal of chemical and radioactive wastes, some of which are now being dumped off our coasts without adequate knowledge of the potential consequences.",1,24
1960,1608,7,700,7,700,We will protect fish and game habitats from commercial exploitation and require military installations to conform to sound conservation practices.,1,20
1960,1661,7,700,7,700,4. Federal aid in combating air and water pollution.,1,9
1964,2007,7,705,7,705,Continue the attack we have launched on the polluted air that envelops our cities and on eliminating the pollution of our rivers and streams.,1,24
1964,2008,7,701,7,701,Intensify our efforts to solve the critical water problems of many sections of this country by desalinization.,1,17
1964,2376,7,711,7,711,"Soil and water conservation activities in the past 3 1/2 years have shown a constant upward trend in their contributions to the physical, social and economic welfare of rural areas.",1,30
1964,2377,7,711,7,711,289 new small upstream watershed projects were authorized.,1,8
1964,2378,7,711,7,711,"8,000 local soil and water conservation districts have updated their long-range programs to reflect the broadened concepts of economic development.",1,20
1964,2379,7,711,7,711,The Great Plains Conservation Program has been extended for 10 years and 36 counties have been added to the program.,1,20
1964,2510,7,700,7,700,"In 1960, we said√≠√Ø""A thin layer of earth, a few inches of rain, and a blanket of air makes human life possible on our planet.""",1,25
1964,2511,7,700,7,700,"""Sound public policy must assure that these essential resources will be available to provide the good life for our children and future generations.""",1,23
1964,2512,7,711,7,711,"After the 1960 election President Kennedy and President Johnson implemented this platform by a whole series of new conservation policies and programs, some of which emanated from the first White House Conference on Conservation called by any President since the 1908 conference called by President Theodore Roosevelt.",1,47
1964,2513,7,711,7,711,During this Administration two historic conservation measures were enacted.,1,9
1964,2514,7,711,7,711,These were:The Wilderness Bill and the Land and Water Conservation Fund Bill which will together do more to help conserve outdoor America than any legislation passed in a generation.,1,29
1964,2515,7,711,7,711,"In addition to this landmark legislation new emphasis has been placed on science as the modern midwife of conservation, and new impetus has been given across the board in the conservation of natural resources.",1,34
1964,2532,7,709,7,709,Enactment of the Wetlands Bill of 1961 made it possible to create more new Waterfowl Refuges (27) than during any previous four-year period in our history.,1,26
1964,2533,7,705,7,705,The Clean Air Act of 1963 is already providing the first full-scale attack on the air pollution problems that blight living conditions in so many of our cities.,1,28
1964,2534,7,701,7,701,"Enactment of the Federal Water Pollution Control Act of 1961 launched the first massive attack on this conservation problem which has already resulted in 1,300 municipal waste treatment plans and the approval of projects that have improved the water quality in 18,000 miles of streams that provide water for 22 million people.",1,52
1968,2835,7,700,7,700,"To purify the air we breathe and the water we drink, Democrats led the way to the enactment of landmark anti-pollution legislation.",1,22
1968,3137,7,705,7,705,to implement the acts that have been passed to control noxious vehicle exhausts;,1,13
1968,3138,7,705,7,705,and to reduce aircraft noise.,1,5
1968,3139,7,700,7,700,The expansion of our transportation must not be carried out at the expense of the environment through which it moves.,1,20
1968,3320,7,700,7,700,"But with rapid industrialization, the nation's air and water resources have been degraded, the public health and welfare endangered, the landscape scarred and littered, and the very quality of our national life jeopardized.",1,33
1968,3321,7,700,7,700,"We must assure the availability of a decent environment for living, working and relaxation.",1,14
1968,3323,7,705,7,705,To extend the national emission control program to all moving sources of air pollution;,1,14
1968,3324,7,703,7,703,To work for programs for the effective disposal of wastes of our modern industrial society;,1,15
1968,3327,7,700,7,700,To continue to work toward abating the visual pollution that plagues our land;,1,13
1972,3552,7,700,7,700,Cleaning up our air and water will take skills and people in large numbers.,1,14
1972,4001,7,700,7,700,"Every American has the right to live, work and play in a clean, safe and healthy environment.",1,17
1972,4002,7,700,7,700,We have the obligation to ourselves and to our children.,1,10
1972,4003,7,700,7,700,It is not enough simply to prevent further environmental deterioration and the despoilation of our natural endowment.,1,17
1972,4004,7,700,7,700,"Rather, we must improve the quality of the world in which we and they will live.",1,16
1972,4005,7,700,7,700,The Nixon Administration's record on the environment is one of big promises and small actions.,1,15
1972,4006,7,700,7,700,"Inadequate enforcement, uncertain requirements, reduced funding and a lack of manpower have undercut the effort commenced by a Democratic Administration to clean up the environment.",1,25
1972,4007,7,700,7,700,"We must recognize the costs all Americans pay for the environmental destruction with which we all live: Poorer health, lessened recreational opportunities, higher maintenance costs, lower land productivity and diminished beauty in our surroundings.",1,34
1972,4008,7,700,7,700,"Only then can we proceed wisely, yet vigorously, with a program of environmental protection which recognizes that, although environmental protection will not be cheap, it is worth a far greater price, in effort and money, than we have spent thus far.",1,41
1972,4009,7,700,7,700,"Such a program must include adequate federal funding for waste management, recycling and disposal and for purification and conservation of air and water resources.",1,24
1972,4010,7,700,7,700,"The next Administration must reconcile any conflicts among the goals of cleaner air and water, inexpensive power and industrial development and jobs in specific places.",1,25
1972,4011,7,700,7,700,These difficulties do exist√≠√Øto deny them would be deceptive and irresponsible.,1,11
1972,4012,7,700,7,700,"At the same time, we know they can be resolved by an Administration with energy, intelligence and commitment-qualities notably absent from the current Administration's handling of the problem.",1,28
1972,4013,7,709,7,709,We urge additional financial support to the United States Forest Service for planning and management consistent with the environmental ideal stated in this Platform.,1,24
1972,4014,7,700,7,700,"The problem we face is to choose the most efficient, effective and equitable techniques for solving each new environmental problem.",1,20
1972,4015,7,700,7,700,"We cannot afford to waste resources while doing the job, any more than we can afford to leave the job undone.",1,21
1972,4016,7,705,7,705,We must enforce the strict emission requirements on all pollution sources set under the 1970 Clean Air Act.,1,18
1972,4017,7,700,7,700,We must support the establishment of a policy of no harmful discharge into our waters by 1985.,1,17
1972,4018,7,700,7,700,"We must have adequate staffing and funding of all regulatory and enforcement agencies and departments to implement laws, programs and regulations protecting the environment, vigorous prosecution of violators and a Justice Department committed to enforcement of environmental law.",1,38
1972,4019,7,700,7,700,We must fully support laws to assure citizens' standing in federal environmental court suits.,1,14
1972,4020,7,703,7,703,Strict interstate environmental standards must be formulated and enforced to prevent pollution from high-density population areas being dumped into low-density population areas for the purpose of evasion of strict pollution enforcement.,1,31
1972,4021,7,700,7,700,"The National Environmental Policy Act should be broadened to include major private as well as public projects, and a genuine commitment must be made to making the Act work.",1,29
1972,4022,7,700,7,700,Our environment is most threatened when the natural balance of an area's ecology is drastically altered for the sole purpose of profits.,1,22
1972,4023,7,700,7,700,"Such practices as ""clear cut"" logging, strip mining, the indiscriminate destruction of whole species, creation of select ocean crops at the expense of other species and the unregulated use of persistent pesticides cannot be justified when they threaten our ability to maintain a stable environment.",1,45
1972,4024,7,700,7,700,"Where appropriate, taxes need to be levied on pollution, to provide industry with an incentive to clean up.",1,18
1972,4025,7,700,7,700,We also need to develop new public agencies that can act to abate pollution-act on a scale commensurate with the size of the problem and the technology of pollution control.,1,30
1972,4026,7,700,7,700,Expanded federal funding is required to assist local governments with both the capital and operating expenses of water pollution control and solid waste management.,1,24
1972,4027,7,700,7,700,The United States should not be condemned to the choice between the development of resources and economic security or preservation of those resources.,1,23
1972,4028,7,700,7,700,"A decent job for every American is a goal that need not, and must not, be sacrificed to our commitment to a clean environment.",1,24
1972,4029,7,700,7,700,"Far from slowing economic growth, spending for environmental protection can create new job opportunities for many Americans.",1,17
1972,4030,7,700,7,700,"Nevertheless, some older and less efficient plants might find themselves in a worse competitive position due to environmental protection requirements.",1,20
1972,4031,7,700,7,700,Closely monitored adjustment assistance should be made available to those plants willing to modernize and institute environmental protection measures.,1,19
1972,4061,7,710,7,701,"As with the supply of energy, no longer can we take for granted the precious resources we derive from the oceans.",1,21
1972,4062,7,710,7,701,"Here, too, we need comprehensive national and international policies to use and protect the vast potential contained in the sea.",1,20
1972,4063,7,710,7,701,"In particular we must:Agree with other nations on stopping pollution of the seas, if they are not one day to become one large sewer, or be filled with dangerous poisons that will deprive us of vital food resources;",1,38
1972,4525,7,700,7,700,Develop ground rules for pollution controls with our industrialized trading partners so that no country gains competitive advantage at the expense of the environment.,1,24
1976,4659,7,700,7,700,"a society in consonance with its natural environment, affording freedom to the individual and the opportunity to develop to the fullest human Potential.",1,23
1976,5207,7,705,7,705,Air quality standards that make possible the burning of coal without danger to the public health or degradation of the nation's clear air must be developed and implemented.,1,28
1976,5209,7,711,7,711,"Strip mining legislation designed to protect and restore the environment, while ending the uncertainty over the rules governing future coal mining, must be enacted.",1,24
1976,5256,7,711,7,711,"reinstate sound, locally administered soil conservation programs;",1,7
1976,5261,7,709,7,709,Fisheries. America's fisheries must be protected and enhanced as a renewable resource through ecologically sound conservation practices and meaningful international agreements and compacts between individual states.,1,26
1976,5262,7,700,7,700,"The Democratic Party's strong commitment to environmental quality is based on its conviction that environmental protection is not simply an aesthetic goal, but is necessary to achieve a more just society.",1,31
1976,5263,7,700,7,700,Cleaning up air and water supplies and controlling the proliferation of dangerous chemicals is a necessary part of a successful national health program.,1,23
1976,5266,7,700,7,700,"The Democratic Party, through the Congress, has recognized the need for basic environmental scrutiny, and has authored a comprehensive program to achieve this objective.",1,24
1976,5267,7,700,7,700,"In eight years, the efforts to implement that program have been thwarted by an administration committed only to unfounded allegations that economic growth and environmental protection are incompatible.",1,28
1976,5268,7,700,7,700,"Quite to the contrary, the Democratic Party believes that a concern for the environment need not and must not stand in the way of a much-needed policy of high economic growth.",1,31
1976,5269,7,700,7,700,"Moreover, environmental protection creates jobs.",1,5
1976,5270,7,700,7,700,"Environmental legislation enacted since 1970 already has produced more than one million jobs, and we pledge to continue to work for additional laws to protect, restore and preserve the environment while providing still more jobs.",1,35
1976,5271,7,704,7,704,"Today, permanently harmful chemicals are dispersed, and irrecoverable land is rendered worthless.",1,12
1976,5272,7,700,7,700,"If we are to avoid repeated environmental crises, we must now renew our efforts to restore beth environmental quality and economic growth.",1,22
1976,5273,7,700,7,700,Those who would use the environment must assume the burden of demonstrating that it will not be abused.,1,18
1976,5274,7,700,7,700,"For too long this burden has been on government agencies, representing the public, to assess and hopefully correct the damage that has already been done.",1,25
1976,5280,7,707,7,707,Economic inequities created by subsidies for virgin materials to the disadvantage of recycled materials must be eliminated.,1,17
1976,5281,7,707,7,707,Depletion allowances and unequal freight rates serve to discourage the growing numbers of businesses engaged in recycling efforts.,1,18
1976,5282,7,798,7,798,Environmental research and development within the public sector should be increased substantially.,1,12
1976,5283,7,798,7,798,"For the immediate future, we must learn how to correct the damage we have already done, but more importantly, we need research on how to build a society in which renewable and nonrenewable resources are used wisely and efficiently.",1,39
1976,5284,7,700,7,700,Federal environmental anti-pollution requirement programs should be as uniform as possible to eliminate economic discrimination.,1,15
1976,5285,7,700,7,700,"A vigorous program with national minimum environmental standards fully implemented, recognizing basic regional differences, will ensure that states and workers are not penalized by pursuing environmental programs.",1,27
1976,5286,7,700,7,700,"The technological community should be encouraged to produce better pollution-control equipment, and more importantly, to produce technology which produces less pollution.",1,21
1976,5367,7,700,7,700,The world environment. Decay of the environment knows no national boundary.,1,11
1976,5368,7,700,7,700,A government committed to protect our environment knows no national boundary.,1,11
1976,5369,7,700,7,700,A government committed to protect our environment at home must also seek international cooperation in defending the global environment.,1,19
1976,5371,7,709,7,709,to preserve endangered species of fish and wildlife;,1,8
1976,5372,7,700,7,700,"to reverse the encroachment of the deserts, the erosion of the world's agricultural lands, and the accelerating destruction of its forests;",1,21
1976,5373,7,705,7,705,to limit pollution of the atmosphere;,1,6
1976,5374,7,705,7,705,and to control alterations of the global climate.,1,8
1980,6711,7,710,7,701,Offshore energy leasing and development should be conditioned on full protection of the environment and marine resources.,1,17
1980,6712,7,710,7,701,Lease sales should proceed only after appropriate safeguards necessary to preserve and protect vital natural resources are put in place.,1,20
1980,6713,7,710,7,701,"The determination of what safeguards are needed must be based on a complete assessment of the effects of offshore activity on the marine and coastal environment, and must be made in conjunction with the Environmental Protection Agency and the National Oceanic and Atmospheric Agency, the federal agencies charged with protecting our nation's fisheries and other environmental resources.",1,57
1980,6738,7,704,7,704,We must give the highest priority to dealing with the nuclear waste disposal problem.,1,14
1980,6739,7,704,7,704,"Current efforts to develop a safe, environmentally sound nuclear waste disposal plan must be continued and intensified.",1,17
1980,6744,7,704,7,704,"Safe permanent disposal of all high-level radioactive waste and transuranic waste should be the primary responsibility of the federal government, in consultation and concurrence with state, local, tribal, and territorial governments throughout the entire decision-making process, including the actual siting and operation of repositories.",1,44
1980,6745,7,704,7,704,Neither the federal government nor the state or tribal or territorial governments should be permitted to act in a manner that forces an unsafe resolution of this problem or prevents a safe resolution from being accomplished.,1,36
1980,6746,7,704,7,704,"It is, therefore, essential that state and tribal governments, acting according to their constitutional processes, have the power to reject unsafe sites within their borders.",1,25
1980,6747,7,704,7,704,Clear standards should be developed so that the courts may determine whether the federal government or a state or tribe is acting in an arbitrary manner.,1,26
1980,6748,7,704,7,704,Every state should be responsible for the management and disposal of all low-level waste generated by non-defense sources within its boundaries.,1,21
1980,6749,7,704,7,704,"Where appropriate, this responsibility should be exercised through state regional compacts.",1,11
1980,6750,7,704,7,704,"There should be more federal funding for research and development of safer, more efficient methods of radioactive waste disposal.",1,19
1980,6753,7,700,7,700,We are charged with the stewardship of an irreplaceable environment.,1,10
1980,6754,7,700,7,700,The Democratic Party must continue to be as environmentally progressive in the future as it has been in the past.,1,20
1980,6755,7,700,7,700,Progress in environmental quality√≠√Øa major achievement of the 1970s√≠√Ømust continue in the 1980s.,1,13
1980,6756,7,700,7,700,"The environmental problems we face today are, if anything, more challenging and urgent than those of ten years ago.",1,19
1980,6757,7,700,7,700,The great strides we have taken during the past few years are the best evidence of our commitment to resource conservation and environmental restoration.,1,24
1980,6758,7,700,7,700,We have compiled a proud record.,1,6
1980,6759,7,700,7,700,"During the next four years, we must carry forward vigorously with these important policies, and move to address a series of new challenges.",1,23
1980,6760,7,711,7,711,We must move decisively to protect our countryside and our coastline from overdevelopment and mismanagement.,1,15
1980,6761,7,711,7,711,Major efforts are now underway to solve such problems as disappearing farmland and development on our barrier islands.,1,18
1980,6762,7,711,7,711,These efforts should help forge a strong national consensus behind the realization that protection must be balanced with the need to properly manage and utilize our land resources during the 1980s.,1,31
1980,6763,7,700,7,700,"We must develop new and improved working relationships among federal, state, local, tribal, and territorial governments and private interests, to manage effectively our programs for increased domestic energy production and their impact on people, water, air, and the environment in general.",1,41
1980,6764,7,700,7,700,All of our energy development efforts should be carried out without sacrificing environmental quality.,1,14
1980,6768,7,700,7,700,"New efforts at home and abroad will be required in the early 1980s to face squarely such global problems as the destruction of forests, the loss of countless irreplaceable species, growing world population, acid rain, and carbon dioxide buildup.",1,39
1980,6769,7,704,7,704,Passage by Congress of the hazardous waste cleanup proposal will provide the basis for a major effort beginning in 1981 to clean up the thousands of hazardous waste dump sites across the country.,1,33
1980,6770,7,704,7,704,Toxic chemicals are a serious threat to the health of our people.,1,12
1980,6771,7,700,7,700,"We must continue our programs to improve agency performance in many areas, such as protection of groundwater, in order to better protect the public.",1,24
1980,6772,7,700,7,700,"We must strive to ensure that environmental regulations cost no more than necessary and are streamlined to eliminate waste, duplication and delay.",1,22
1980,6773,7,700,7,700,We must not lose sight of the fact that the benefits of these regulations far outweigh their costs.,1,18
1980,6774,7,700,7,700,We must work to reform legislation without deforming it.,1,9
1980,6775,7,700,7,700,We support the allocation of resources to the Environmental Protection Agency and other environmental agencies sufficient to carry out their mandates.,1,21
1980,6776,7,705,7,705,We support strict adherence to automobile pollution standards.,1,8
1980,6777,7,705,7,705,We will support policies to eliminate acid rain pollution from power plant emissions.,1,13
1980,6779,7,705,7,705,We will continue to fight noise pollution in our urban centers and job sites.,1,14
1980,6780,7,707,7,707,We will encourage the recycling of municipal solid waste.,1,9
1980,6781,7,704,7,704,"We will seek a strong ""super-fund"" law financed by government and industry.",1,12
1980,6783,7,711,7,711,We will fund adequately the Land and Water Conservation Fund to protect our national park system.,1,16
1980,6784,7,704,7,704,We will implement vigorously the Toxic Substances Control Act.,1,9
1980,6835,7,711,7,711,Protecting our soil resource√≠√ØAmerican agriculture is critically dependent on the productivity of its soil.,1,14
1980,6836,7,711,7,711,"Without careful and consistent stewardship of this important resource, it can become depleted.",1,13
1980,6837,7,711,7,711,An assessment of our nation's conservation needs is now underway.,1,10
1980,6838,7,711,7,711,We must be prepared to act on the findings of this assessment.,1,12
1980,6839,7,711,7,711,"Emergency procedures should be enacted to increase soil conservation incentives for construction of watersheds, tile intake terraces, and other soil saving practices.",1,22
1980,6863,7,709,7,709,"Under the Democratic Administration the U.S. fishing industry has made substantial progress, as evidenced by the following:",1,17
1980,6864,7,709,7,709,√≠¬êCommercial landings of fish in 1979 were up 45 percent in value and 21 percent in quantity compared with 1977;,1,20
1980,6865,7,709,7,709,√≠¬êThe U.S. share of the catch in our 200-mile fisheries conservation zone increased from 27 percent in 1978 to 33 percent in 1979;,1,23
1980,6866,7,709,7,709,"√≠¬êOver the same period, the foreign catch of fish in the U.S. 200-mile zone dropped 6 percent, and 29 percent from the average for the five preceding years;",1,28
1980,6867,7,709,7,709,√≠¬êThe U.S. has moved from fifth in the world in 1977 to fourth in 1978 in total commercial fish landings; and,1,21
1980,6868,7,709,7,709,√≠¬êExports of U.S. edible fishery products in 1979 were up 116 percent in value and 67 percent in quantity compared with 1977.,1,22
1980,6869,7,709,7,709,"While such trends are encouraging, there remains a tremendous potential for growth.",1,12
1980,6870,7,709,7,709,"By volume, 67 percent, and by value, 34 percent, of the harvest in the fishery conservation zone is still taken by foreign vessels.",1,23
1980,6871,7,709,7,709,The value of the catch to foreign fishermen was $470 million in 1979.,1,13
1980,6872,7,709,7,709,The need for more rapid growth of the U.S. fishing industry is illustrated by the fact that imports of fisheries' products outweighed exports by $1.7 billion last year.,1,28
1980,6873,7,709,7,709,"With full development of our industry, this deficit could be erased.",1,11
1980,6874,7,709,7,709,"Moreover, 43,000 new jobs could be created.",1,7
1980,6875,7,709,7,709,One-fifth of the world's fish are found in waters off the United States.,1,13
1980,6876,7,709,7,709,We pledge to continue the development of our fishing industry so that the U.S. achieves self-sufficiency in this sector and fully utilizes the valuable and abundant fisheries resources off our shores.,1,31
1980,6877,7,709,7,709,"To this end, continuing effort in the following areas is needed:√≠¬êDevelop a balanced U.S. harvesting processing and marketing capability on a geographical and fishery-by-fishery basis;",1,25
1980,6878,7,709,7,709,√≠¬êContinue to phase out foreign fishing within our 200-mile zone;,1,10
1980,6879,7,709,7,709,√≠¬êTarget efforts to stimulate and expand those fisheries that are presently unutilized and underutilized;,1,14
1980,6880,7,709,7,709,√≠¬êIncrease research and development through cooperative federal-private efforts with emphasis on industry initiatives;,1,13
1980,6881,7,709,7,709,√≠¬êEncourage the availability of capital in sectors where it is particularly needed;,1,12
1980,6882,7,709,7,709,"√≠¬êPromote market development, and to that end, continue to allocate surplus fishery resources of the U.S. 200-mile zone to foreign nations in order to stimulate improved access to their markets for our fish products;",1,34
1980,6883,7,709,7,709,"√≠¬êEnhance conservation and management of U.S. fishery resources and in that effort, increase observer coverage of foreign fishing operations in the 200-mile zone;",1,23
1980,6884,7,709,7,709,"√≠¬êWork toward ensuring that a fair share of the costs of conservation, management, research and enforcement in the 200-mile zone is borne by foreign fishermen who enjoy access to our surplus fishery resources;",1,33
1980,6887,7,709,7,709,√≠¬êEncourage development of a diversified U.S. aquaculture industry;,1,8
1980,6888,7,709,7,709,"√≠¬êProtect, restore and enhance fish habitats;",1,6
1980,6889,7,709,7,709,"√≠¬êContinue support for research, propagation and management of our anadromous fish resource; and",1,13
1984,7342,7,700,7,700,The President who destroyed the Environmental Protection Agency will decide whether toxic dumps get cleaned up.,1,16
1984,7467,7,700,7,700,"If Mr. Reagan is reelected, will we ensure that our children are able to enjoy a clean, healthy environment?",1,19
1984,7468,7,700,7,700,Protecting our natural heritage√≠√Ø its beauty and its richness√≠√Ø is not a partisan issue.,1,14
1984,7469,7,700,7,700,"For eighty years, every American President has understood the importance of protecting out air, our water, and our health.",1,19
1984,7470,7,700,7,700,"Today, a growing population puts more demands on our environment.",1,10
1984,7471,7,704,7,704,Chemicals which are unsafe or disposed of improperly threaten neighborhoods and families.,1,12
1984,7472,7,700,7,700,"And as our knowledge expands, we learn again and again how fragile life and health√≠√Øhuman and animal√≠√Øtruly are.",1,18
1984,7473,7,700,7,700,Ensuring the environmental heritage of future generations demands action now.,1,10
1984,7474,7,711,7,711,"But the Reagan Administration continues to develop, lease, and sell irreplaceable wilderness lands.",1,13
1984,7475,7,704,7,704,"While thousands of toxic waste sites already exist, and more and more are being created constantly, the Reagan Administration is cleaning them up at a rate of only 1.5 per year.",1,31
1984,7476,7,700,7,700,The environmental legacy of Ronald Reagan will be long-lasting damage that can never truly be undone.,1,16
1984,8246,7,704,7,704,The Democratic Party believes high-level radioactive waste and other hazardous materials should be transported only when absolutely necessary.,1,18
1984,8247,7,704,7,704,We will guarantee states full participatory rights in all decisions affecting the movement of high-level radioactive waste within their borders.,1,20
1984,8248,7,704,7,704,"We will require radioactive waste and hazardous materials emergency response plans along transportation routes, similar to those required for nuclear power plants.",1,22
1984,8249,7,704,7,704,The Democratic Party will act swiftly to ensure stales' authority to regulate routes and schedules for radioactive and other hazardous shipments.,1,21
1984,8266,7,707,7,707,"The Democratic Party recognizes that recovering and recycling used materials can conserve energy and natural resources, create additional jobs, reduce the costs of material goods, eliminate solid waste and liter, and avoid pollution.",1,33
1984,8267,7,707,7,707,We will increase efforts to recover and recycle useful materials from municipal waste.,1,13
1984,8268,7,700,7,700,Americans know that industrial production and economic development do not have to mean ruined land or polluted air and water.,1,20
1984,8269,7,700,7,700,"Sound resource management, careful planning, and strict pollution control enforcement will allow us to have a prosperous economy and a healthy environment.",1,22
1984,8270,7,700,7,700,"For the last four years the Reagan Administration has assumed a radical position, working to eliminate the environmental protections forged through years of bipartisan cooperation.",1,25
1984,8271,7,700,7,700,Ronald Reagan's first appointees to key environmental positions have already been forced to resign.,1,14
1984,8272,7,700,7,700,But the American people are entitled to more than the absence of scandal√≠√Øthey demand real action to protect the health and safety of our families and communities.,1,27
1984,8273,7,700,7,700,The Democratic Party supports revitalizing the Environmental Protection Agency by providing it with a budget increase adequate to allow it to carry out its substantially increased responsibility to protect the people and enforce the law.,1,35
1984,8274,7,704,7,704,Thousands of dump sites across America contain highly dangerous poisons that can threaten the health and safety of families who live nearby or who depend on water supplies that could be contaminated by the poisons.,1,35
1984,8275,7,704,7,704,"Although Congress his established the Superfund for emergency cleanup of these dangerous sites, President Reagan refuses to use it vigorously.",1,20
1984,8276,7,704,7,704,"The Democratic Party is committed to enforcing existing laws, to dramatically increasing Superfund resources to clean up all sites that threaten public health, and to assuring that everyone whose health or property is damaged has a fair opportunity to force the polluters to pay for the damage.",1,47
1984,8277,7,704,7,704,"This increased support should be financed at least in part through new taxes on the generation of hazardous wastes, so companies have an economic incentive to reduce the volume and toxicity of their dangerous wastes.",1,35
1984,8278,7,704,7,704,The Resource Conservation and Recovery Act should be expanded to include major new requirements for safer management of newly generated toxic waste.,1,22
1984,8279,7,704,7,704,"High priority must be given to establishing and implementing a program to phase out the land disposal of untreated hazardous waste, requiring instead that it be treated by chemical, biological, or thermal processes that render it harmless and safe for disposal.",1,41
