id,eo_number,president,pres_party,beg_term,end_term,signed_date,year,month,day,congress,divided,commemorative,description,pap_majortopic,pap_subtopic,majortopic,subtopic
12,9549,TRUMAN,100,1,0,19450508,1945,5,8,79,0,0,Designation of Mrs. Ruth W. Talley and Mrs. Alice M Grove to sign land patents,21,2103,21,2103
13,9550,TRUMAN,100,1,0,19450510,1945,5,10,79,0,0,Regulations relating to aerial flights by personnel of the Coast and Geodetic Survey,16,1608,16,1608
14,9551,TRUMAN,100,1,0,19450516,1945,5,16,79,0,0,Providing for the transfer to the Republic of Panama of the water and sewerage systems installed by the United States in the cities of Panama and Colon,19,1915,19,1915
15,9552,TRUMAN,100,1,0,19450519,1945,5,19,79,0,0,"Authorizing the Secretary of War to take possession of and operate the plants and facilities of the Cocker Machine and Foundry Company, located at Gastonia, North Carolina",16,1610,16,1610
16,9553,TRUMAN,100,1,0,19450522,1945,5,22,79,0,0,Creating an emergency board to investigate a dispute between the River Terminal Railway Company and its employees,10,1005,10,1005
17,9554,TRUMAN,100,1,0,19450523,1945,5,23,79,0,0,"Possession and operation of property of Motor Carriers in and about the city of Chicago, Illinois",16,1610,16,1610
18,9555,TRUMAN,100,1,0,19450524,1945,5,24,79,0,0,Creating an emergency board to investigate a dispute between the Illinois Central Railroad Company and its employees,10,1005,10,1005
19,9556,TRUMAN,100,1,0,19450526,1945,5,26,79,0,0,"Providing for the exercise of certain functions, duties, and powers of the President with respect to certain Court Martial cases by the Secretary of War, the Under Secretary of War, the Secretary of the Navy and the Under Secretary of the Navy",16,1608,16,1608
20,9557,TRUMAN,100,1,0,19450526,1945,5,26,79,0,0,"Amendment of Executive Order 9210 of August 1, 1942, prescribing regulations governing the payment of additional compensation to enlisted men of the Navy and Coast Guard specially qualified in the use of arms",16,1608,16,1608
21,9558,TRUMAN,100,1,0,19450526,1945,5,26,79,0,0,Reinstating certain former foreign service officers,19,1929,19,1929
22,9559,TRUMAN,100,1,0,19450528,1945,5,28,79,0,0,"Authorizing the Secretary of War to take possession of and operate the plants and facilities of the Gaffney Manufacturing Company, located at Gaffney, South Carolina",16,1610,16,1610
23,9560,TRUMAN,100,1,0,19450601,1945,6,1,79,0,0,"Authorizing the Secretary of War to take possession and operate the plants and facilities of the Mary-Leila Cotton Mills, Inc., located at Greensbobo, Georgia",16,1610,16,1610
24,9561,TRUMAN,100,1,0,19450601,1945,6,1,79,0,0,"Amending Executive Order No. 9386 of October 15, 1943, prescribing regulations governing the granting of allowances for quarters and subsistence to enlisted men",16,1608,16,1608
25,9562,TRUMAN,100,1,0,19450604,1945,6,4,79,0,0,Termination of the Office of Civilian Defense,16,1615,16,1615
26,9563,TRUMAN,100,1,0,19450604,1945,6,4,79,0,0,"Amendment of rule 46 of Executive Order NO. 4314 of September 25, 1925, establishing rules governing navigation of the Panama Canal and adjacent waters",19,1915,19,1915
27,9564,TRUMAN,100,1,0,19450605,1945,6,5,79,0,0,"Authorizing the Petroleum Administrator to take possession of and to operate the plants and facilities of the Humble Oil and Refining Company located in Ingleside, Texas",16,1610,16,1610
28,9565,TRUMAN,100,1,0,19450605,1945,6,5,79,0,0,"Authorizing the Petroleum Administrator to take possession of and to operate the plants and facilities at the Cabin Creek Oil Fields of the Pure Oil Company located at Dawes, West Virginia",16,1610,16,1610
29,9566,TRUMAN,100,1,0,19450605,1945,6,5,79,0,0,"Revocation of Executive Order 9090 of March 6, 1942, establishing an Airspace Reservation over portions of Ulster and Dutchess Counties, New York",10,1003,10,1003
30,9567,TRUMAN,100,1,0,19450608,1945,6,8,79,0,0,"Amending Executive Order No. 9095, as amended by Executive Order No. 9193, to define further the functions and duties of the Alien Property Custodian with respect to property of Germany and Japan and nationals thereof",16,1619,16,1619
31,9568,TRUMAN,100,1,0,19450608,1945,6,8,79,0,0,Providing for the release of scientific information,2,208,2,208
32,9569,TRUMAN,100,1,0,19450614,1945,6,14,79,0,0,Inspection by the Office of Price Administration of corporation statistical transcript cards prepared from income and declared value excess profits tax returns,20,2009,20,2009
33,9570,TRUMAN,100,1,0,19450614,1945,6,14,79,0,0,"Possession and operation of the transportation system, plants, and facilities of the Scranton Transit Company located in and about the City of Scranton, Pennsylvania",16,1610,16,1610
34,9571,TRUMAN,100,1,0,19450615,1945,6,15,79,0,0,Authorizing the Secretary of the Interior to acquire and dispose of certain property,21,2100,21,2100
35,9572,TRUMAN,100,1,0,19450615,1945,6,15,79,0,0,"Possession, control, and operation of the Toledo, Peoria & Western Railroads",16,1610,16,1610
36,9573,TRUMAN,100,1,0,19450616,1945,6,16,79,0,0,Creating an emergency board to investigate a dispute between the Georgia and Florida Railroad and its employees,10,1005,10,1005
37,9574,TRUMAN,100,1,0,19450618,1945,6,18,79,0,0,"Authorizing the Secretary of War to take possession of and operate the plants and facilities of the Diamond Alkali Company, located in or around Painesville, Ohio",16,1610,16,1610
38,9575,TRUMAN,100,1,0,19450621,1945,6,21,79,0,0,Declaring the Commission Corps of the Public Health Service to be a Military Service and prescribing regulations therefore,16,1608,16,1608
39,9576,TRUMAN,100,1,0,19450628,1945,6,28,79,0,0,Creating an emergency board to investigate a dispute between the Erie Railroad Company and its employees,10,1005,10,1005
40,9577,TRUMAN,100,1,0,19450629,1945,6,29,79,0,0,Terminating the War Food Administration and Transferring its functions to the Secretary of Agriculture,4,400,4,400
41,9578,TRUMAN,100,1,0,19450630,1945,6,30,79,0,0,Approving regulations of the Civil Service Commission under the Federal Employees Pay Act of 1945,20,2004,20,2004
42,9579,TRUMAN,100,1,0,19450630,1945,6,30,79,0,0,"Amendment of Executive Order No. 8937 of November 7, 1941, extending the period of eligibility on Civil Service registers or lists of persons who serve in the Armed Forces of the United States",16,1608,16,1608
43,9580,TRUMAN,100,1,0,19450630,1945,6,30,79,0,0,"Amendment of Executive Order No. 1888 of February 2, 1914, as amended, relating to conditions of employment in the Service of the Panama Canal and the Panama Railroad Company on the Isthmus of Panama",19,1915,19,1915
44,9581,TRUMAN,100,1,0,19450630,1945,6,30,79,0,0,"Amending Executive Order No. 9299 of February 4, 1943, to give the Territorial War Labor Board for the Territory of Hawaii jurisdiction over voluntary wage and salary adjustments of employees in the Territory of Hawaii subject to the Railway Labor Act",21,2105,21,2105
45,9582,TRUMAN,100,1,0,19450630,1945,6,30,79,0,0,"Restoring land to the Territory of Hawaii for Aeronautical purposes, and reserving land for military purposes",16,1611,16,1611
46,9577.1,TRUMAN,100,1,0,19450701,1945,7,1,79,0,0,"Authorizing the Petroleum Administrator to take possession of and operate the plants and facilities of the Texas Company located in and around Port Arthur, Texas",16,1610,16,1610
47,9583,TRUMAN,100,1,0,19450702,1945,7,2,79,0,0,"Amendment of Executive Order 9356 of June 24, 1943, prescribing regulations governing the furnishing of clothing in kind or payment of cash allowances in lieu thereof to enlisted personnel of the Navy, the Coast Guard, the Naval Reserve, and the Coast Gua",16,1608,16,1608
48,9584,TRUMAN,100,1,0,19450703,1945,7,3,79,0,0,Suspending certain statutory provisions relating to employment in the Canal Zone,19,1915,19,1915
49,9585,TRUMAN,100,1,0,19450704,1945,7,4,79,0,0,"Authorizing the Secretary of the Navy to take possession of and operate the plants and facilities of the Goodyear Tire & Rubber Company, Inc., located at Akron, Ohio",16,1610,16,1610
50,9586,TRUMAN,100,1,0,19450706,1945,7,6,79,0,1,The Medal of Freedom,20,2006,20,2006
51,9587,TRUMAN,100,1,0,19450706,1945,7,6,79,0,0, and prescribing regulations govern,16,1608,16,1608
52,9588,TRUMAN,100,1,0,19450706,1945,7,6,79,0,0,"Creating an emergency board to investigate the disputes between the Chicago, North Shore & Milwaukee Railroad Company and the Chicago, Aurora & Elgin Railroad Company and their employees",10,1005,10,1005
53,9589,TRUMAN,100,1,0,19450719,1945,7,19,79,0,0,Restricting competition in certain Civil Service examinations to Veterans,16,1609,16,1608
54,9590,TRUMAN,100,1,0,19450721,1945,7,21,79,0,1,Establishing certain awards for the Coast and Geodetic Survey,16,1699,16,1699
55,9591,TRUMAN,100,1,0,19450721,1945,7,21,79,0,0,Amending the Foreign Service regulations of the United States,19,1929,19,1929
56,9592,TRUMAN,100,1,0,19450721,1945,7,21,79,0,0,"Extension of the provisions of Executive Order No. 9001 of December 27, 1941, to contracts of the Office of War Information and the Office of Alien Property Custodian",16,1619,16,1619
57,9592.1,TRUMAN,100,0,0,19450723,1945,7,23,79,0,0,"Amendment of Executive Order No. 9400 of December 3, 1943, authorizing the Secretary of the Navy to take possession of and operate the Shipyard of the Los Angeles Shipbuilding and Dry-dock Corporation at Los Angeles, California",16,1610,16,1610
58,9593,TRUMAN,100,0,0,19450725,1945,7,25,79,0,0,"Authorizing the Secretary of War to take possession of and operate the plants and facilities of the Springfield Plywood Corporation, located at Springfield, Oregon",16,1610,16,1610
59,9594,TRUMAN,100,0,0,19450728,1945,7,28,79,0,0,"Designating the Chief of Engineers, United States Army, as a member of the Federal Fire Council in lieu of the Quartermaster General",21,2103,21,2103
60,9595,TRUMAN,100,0,0,19450730,1945,7,30,79,0,0,"Authorizing the Secretary of War to take possession of and operate the plants and facilities of the United States Rubber Company, located in or around Detroit, Michigan",16,1610,16,1610
61,9596,TRUMAN,100,0,0,19450813,1945,8,13,79,0,0,Revoking Executive Order No. 9528 which provides a change in the order of succession of officers to act as Secretary of the Navy,16,1600,16,1600
62,9597,TRUMAN,100,0,0,19450814,1945,8,14,79,0,0,,5,505,5,505
63,9598,TRUMAN,100,0,0,19450817,1945,8,17,79,0,0,Modifying the conditions upon which a classified status may be granted,20,2004,20,2004
64,9599,TRUMAN,100,0,0,19450818,1945,8,18,79,0,0,"Providing for assistance to expand production and continued stabilization of the national economy during the transition from war to peace, and for the orderly modification of wartime controls over prices, wages, materials and facilities",1,110,1,110
65,9600,TRUMAN,100,0,0,19450818,1945,8,18,79,0,0,,5,505,5,505
66,9601,TRUMAN,100,0,0,19450821,1945,8,21,79,0,0,,5,505,5,505
67,9602,TRUMAN,100,0,0,19450823,1945,8,23,79,0,0,"Possession, control, and operation of the transportation system, plants, and facilities of the Illinois Central Railroad Company",16,1610,16,1610
68,9603,TRUMAN,100,0,0,19450825,1945,8,25,79,0,0,Termination of possession of certain property taken by the government,16,1619,16,1619
69,9604,TRUMAN,100,0,0,19450825,1945,8,25,79,0,0,Providing for the release of scientific information (extension and amendment of Executive Order No. 9568),2,208,2,208
70,9605,TRUMAN,100,0,0,19450829,1945,8,29,79,0,0,"Revoking paragraph 4 of Executive Order No. 9279 of December 5, 1942, so as to permit voluntary enlistments in the Armed Forces",16,1608,16,1608
71,9606,TRUMAN,100,0,0,19450829,1945,8,29,79,0,0,,16,1619,16,1619
72,9607,TRUMAN,100,0,0,19450830,1945,8,30,79,0,0,"Revoking Executive Order 9301 of February 9, 1943, establishing a minimum wartime workweek of forty-eight hours",5,505,5,505
73,9608,TRUMAN,100,0,0,19450831,1945,8,31,79,0,0,"Providing for the termination of the Office of War Information, and for the disposition of its functions and of certain functions of the Office of Inter-American Affairs",19,1900,19,1900
74,9609,TRUMAN,100,0,0,19450905,1945,9,5,79,0,0,Authorizing the National Advisory Committee for Aeronautics to acquire and dispose of property,16,1619,16,1619
75,9610,TRUMAN,100,0,0,19450906,1945,9,6,79,0,0,Authorizing the Administrator of Veterans' Affairs to acquire and dispose of property,16,1609,16,1608
76,9611,TRUMAN,100,0,0,19450910,1945,9,10,79,0,0,Reestablishing the Advisory Board on Just Compensation,16,1620,16,1620
77,9612,TRUMAN,100,0,0,19450912,1945,9,12,79,0,0,Amending Executive Order 8902 prescribing regulations pertaining to the entry of coffee into the United States from countries signatories of the Inter-American Coffee Agreement,4,401,4,401
78,9613,TRUMAN,100,0,0,19450913,1945,9,13,79,0,0,Withdrawing and reserving for the use of the United States lands containing radio-active mineral substances,21,2103,21,2103
79,9614,TRUMAN,100,0,0,19450914,1945,9,14,79,0,0,Termination of the War Refugee Board,16,1619,16,1619
80,9615,TRUMAN,100,0,0,19450914,1945,9,14,79,0,1,"Making certain time limitations imposed by Executive Order No. 4601 of March 1, 1927, prescribing regulations pertaining to the award of the Distinguished Flying Cross, inapplicable to certain cases",16,1699,16,1699
81,9616,TRUMAN,100,0,0,19450914,1945,9,14,79,0,0,Relating to the United States High Commissioner to the Philippine Islands,21,2105,21,2105
82,9616.1,TRUMAN,100,0,0,19450914,1945,9,14,79,0,0,Creation of a special temporary position in the Public Health Service,3,325,3,325
83,9617,TRUMAN,100,0,0,19450919,1945,9,19,79,0,0,Transfer of certain agencies and functions to the Department of Labor,5,500,5,500
84,9618,TRUMAN,100,0,0,19450919,1945,9,19,79,0,0,"Appointment of Edwin G. Arnold, Director, Division of Territories and Island Possessions, Department of the Interior, as Administrator of the Puerto Rico Reconstruction Administration",20,2005,20,2005
85,9619,TRUMAN,100,0,0,19450919,1945,9,19,79,0,0,Amending subdivision VII of schedule A of the Civil Service rule,20,2004,20,2004
86,9620,TRUMAN,100,0,0,19450920,1945,9,20,79,0,0,Abolishing the Office of Economic stabilization and transferring its functions to the Office of War Mobilization and Reconversion,1,110,1,110
87,9621,TRUMAN,100,0,0,19450920,1945,9,20,79,0,0,Termination of the Office of Strategic Services and disposition of its functions,16,1619,16,1619
88,9622,TRUMAN,100,0,0,19450920,1945,9,20,79,0,0,"Revocation of Executive Order 9103 of March 18, 1942, providing uniform control over the publication and use of federal statistical information which would give aid and comfort to the enemy",16,1619,16,1619
89,9623,TRUMAN,100,0,0,19450920,1945,9,20,79,0,0,Reinstating Leland B. Peck in the foreign service of the United States,19,1929,19,1929
90,9624,TRUMAN,100,0,0,19450920,1945,9,20,79,0,0,Reinstating Willys R. Peck in the foreign service of the United States,19,1929,19,1929
91,9625,TRUMAN,100,0,0,19450921,1945,9,21,79,0,0,"Revoking Executive Order 9294 of January 4, 1943, further defining the functions and duties of the Office of Defense Transportation",16,1616,16,1616
92,9626,TRUMAN,100,0,0,19450924,1945,9,24,79,0,0,Appointment of the member and alternate member for the United States of the International Military Tribunal established for the trial and punishment of the major war criminals of the European Axis,19,1925,19,1925
93,9627,TRUMAN,100,0,0,19450924,1945,9,24,79,0,0,"Amending Executive Order 9611 of September 10, 1945, reestablishing the Advisory Board on Just Compensation",16,1620,16,1620
94,9628,TRUMAN,100,0,0,19450925,1945,9,25,79,0,0,"Authorizing the appointment to positions of Contact Representative, Veterans Administration, without regard to the requirements of the Civil Service rules",20,2005,20,2005
95,9629,TRUMAN,100,0,0,19450925,1945,9,25,79,0,0,"Amending Executive Order 9492, prescribing regulations governing non-military and non-naval transportation on Army and Navy air transports",16,1699,16,1699
96,9630,TRUMAN,100,0,0,19450927,1945,9,27,79,0,0,Redistribution of foreign economic functions and functions with respect to surplus property in foreign areas,16,1619,16,1619
97,9631,TRUMAN,100,0,0,19450928,1945,9,28,79,0,0,Termination of the Office of Censorship,2,208,2,208
98,9632,TRUMAN,100,0,0,19450928,1945,9,28,79,0,0,"Transfer of jurisdiction from the War Department to the Department of the Interior over the interests of the United States in certain mineral deposits in Jefferson Parish, Louisiana",21,2103,21,2103
99,9633,TRUMAN,100,0,0,19450928,1945,9,28,79,0,0,Reserving and Placing Certain Resources of the Continental Shelf Under the Control and Jurisdiction of the Secretary of the Interior,8,803,8,803
100,9634,TRUMAN,100,0,0,19450928,1945,9,28,79,0,0,Providing for the establishment of Fishery Conservation Zones,4,408,4,408
101,9635,TRUMAN,100,0,0,19450929,1945,9,29,79,0,0,Organization of the Navy Department and the Naval Establishment,16,1600,16,1600
102,9636,TRUMAN,100,0,0,19451003,1945,10,3,79,0,0,Observance by government agencies of holidays falling on Sundays,20,2030,20,2030
103,9637,TRUMAN,100,0,0,19451003,1945,10,3,79,0,1,Medal for Merit,16,1699,16,1699
104,9638,TRUMAN,100,0,0,19451004,1945,10,4,79,0,0,Creating the Civilian Production Administration and termination of the War Production Board,16,1616,16,1616
105,9639,TRUMAN,100,0,0,19451004,1945,10,4,79,0,0,"Authorizing the Secretary of the Navy to take possession of and operate certain plants and facilities used in the transportation, refining and processing of petroleum and petroleum products",16,1610,16,1610
106,9640,TRUMAN,100,0,0,19451005,1945,10,5,79,0,0,"Creating an emergency board to investigate the disputes between the Railway Express Agency Inc., and certain of its employees",10,1005,10,1005
107,9641,TRUMAN,100,0,0,19451015,1945,10,15,79,0,0,Sale of certain combatant vessels of the Navy,16,1606,16,1606
108,9642,TRUMAN,100,0,0,19451018,1945,10,18,79,0,0,"Amendment of Executive Order 9356 of June 24, 1943, prescribing regulations governing the furnishing of clothing in kind or payment of cash allowances in lieu thereof to enlisted personnel of the Navy, the Coast Guard, the Naval Reserve, and the Coast Gua",16,1608,16,1608
109,9643,TRUMAN,100,0,0,19451019,1945,10,19,79,0,0,"Transferring certain personnel, records, property, and funds of the Department of Commerce, with respect to surplus property, to the Reconstruction Finance Corporation",16,1611,16,1611
110,9644,TRUMAN,100,0,0,19451019,1945,10,19,79,0,0,Authorizing the Civil Service Commission to confer a competitive classified Civil Service status upon certain disabled veterans,20,2004,20,2004
111,9645,TRUMAN,100,0,0,19451024,1945,10,24,79,0,0,"Termination of the authority conferred by Executive Order No. 9489 of October 18, 1944",16,1619,16,1619
112,9646,TRUMAN,100,0,0,19451025,1945,10,25,79,0,1,"Coat of Arms, seal, and flag of the President of the United States",20,2099,20,2099
113,9647,TRUMAN,100,0,0,19451025,1945,10,25,79,0,0,Regulations relating to the giving of public notice and the presentation of views in connection with foreign trade agreements,18,1802,18,1802
114,9648,TRUMAN,100,0,0,19451025,1945,10,25,79,0,0,Discontinuing the Matagoorda Bay Defensive Sea Area,16,1600,16,1600
115,9649,TRUMAN,100,0,0,19451029,1945,10,29,79,0,0,Termination of the Office of Fishery Coordination,4,408,4,408
116,9650,TRUMAN,100,0,0,19451029,1945,10,29,79,0,0,"Discontinuing Portland, Maine; Portsmouth, New Hampshire; Boston, Massachusetts; Narragansett Bay; New London, Connecticut; New York Harbor; Delaware Bay and River; Chesapeake Bay-Norfolk; Charleston Harbor; and Buzzards Bay and Vineyard Sound Defensive S",16,1616,16,1616
117,9651,TRUMAN,100,0,0,19451031,1945,10,31,79,0,0,"Amending Executive Order 9599, providing assistance to expanded production and continued stabilization of the national economy during the transition from war to peace, and for the orderly modification of wartime controls over prices, wages, materials and",1,110,1,110
118,9652,TRUMAN,100,0,0,19451031,1945,10,31,79,0,0,Authorizing the appointment of certain personnel in the Department of State,20,2005,20,2005
119,9653,TRUMAN,100,0,0,19451101,1945,11,1,79,0,0,Amending schedules A and B of the Civil Service rules,20,2004,20,2004
120,9654,TRUMAN,100,0,0,19451103,1945,11,3,79,0,0,,16,1619,16,1619
121,9655,TRUMAN,100,0,0,19451114,1945,11,14,79,0,0,Regulations relating to commissioned officers and employees of the Public Health Service,3,301,3,301
122,9656,TRUMAN,100,0,0,19451115,1945,11,15,79,0,0,Transfer of Shipbuilding Stabilization Committee,16,1610,16,1610
123,9657,TRUMAN,100,0,0,19451116,1945,11,16,79,0,0,Providing for the representation of the United States in the observation of elections in Greece,19,1910,19,1910
124,9658,TRUMAN,100,0,0,19451121,1945,11,21,79,0,0,"Possession, control, and operation of the transportation system, plants, and facilities of the Capital Transit Company, Washington, District of Columbia",16,1610,16,1610
125,9659,TRUMAN,100,0,0,19451121,1945,11,21,79,0,0,Extension of trust periods on Indian lands expiring during calendar year 1946,21,2102,21,2102
126,9660,TRUMAN,100,0,0,19451129,1945,11,29,79,0,0,Conferring certain authority upon the Chief of Counsel in the preparation and prosecution of charges of war crimes against the major leaders of Japan and their principal agents and accessories,19,1925,19,1925
127,9661,TRUMAN,100,0,0,19451129,1945,11,29,79,0,0,"Possession, control, and operation of the transportation system, plants, and facilities of the Great Lakes Towing Company, Cleveland, Ohio",16,1610,16,1610
128,9662,TRUMAN,100,0,0,19451129,1945,11,29,79,0,0,Restricting competition in certain Civil Service examinations to Veterans,16,1609,16,1608
129,9663,TRUMAN,100,0,0,19451130,1945,11,30,79,0,0,"Creating an emergency board to investigate a dispute between the Texas & New Orleans Railway Company and Hospital Association of the Southern Pacific Lines in Texas and Louisiana, a carrier, and certain of its employees",10,1005,10,1005
130,9664,TRUMAN,100,0,0,19451218,1945,12,18,79,0,0,Continuing the work of the Fair Employment Practice Committee,5,505,5,505
131,9665,TRUMAN,100,0,0,19451227,1945,12,27,79,0,0,Transfer of the functions of the Smaller War Plants Corporation to the Reconstruction Finance Corporation and the Department of Commerce,16,1616,16,1616
132,9666,TRUMAN,100,0,0,19451228,1945,12,28,79,0,0,Directing the return of the Coast Guard to the Treasury Department,10,1007,10,1007
133,9667,TRUMAN,100,0,0,19451228,1945,12,28,79,0,0,"Revoking Executive Order 9074 of February 25, 1942, directing the Secretary of the Navy to take action necessary to protect vessels, harbors, ports and waterfront facilities",10,1007,10,1007
134,9668,TRUMAN,100,0,0,19451228,1945,12,28,79,0,0,Amending subdivision III of schedule A of the Civil Service rule,20,2004,20,2004
135,9669,TRUMAN,100,0,0,19451228,1945,12,28,79,0,0,Transfer of air-navigation facilities and functions in Iran from the War Department to the Administrator of Civil Aeronautics,19,1921,19,1921
136,9670,TRUMAN,100,0,0,19451228,1945,12,28,79,0,0,Establishing the Tennessee National Wildlife Refuge,7,709,7,709
137,9671,TRUMAN,100,0,0,19451229,1945,12,29,79,0,0,Restoring certain lands to the Territory of Hawaii,21,2105,21,2105
138,9672,TRUMAN,100,0,0,19451231,1945,12,31,79,0,0,Establishing the National Wage Stabilization Board and terminating the National War Labor Board,1,110,1,110
139,9673,TRUMAN,100,0,0,19460103,1946,1,3,79,0,0,Transfer of certain production research and development functions from the Civilian Production Administration to the Department of Commerce,16,1616,16,1616
140,9674,TRUMAN,100,0,0,19460104,1946,1,4,79,0,0,Liquidation of war agencies,16,1616,16,1616
141,9675,TRUMAN,100,0,0,19460105,1946,1,5,79,0,0,"Creating an emergency board to investigate the disputes between the St. Louis-San Francisco Railway Company and the St. Louis, San Francisco and Texas Railway Company, carriers, and certain of their employees",10,1005,10,1005
142,9676,TRUMAN,100,0,0,19460114,1946,1,14,79,0,0,Terminal date for filing application for non-necessity certificate under section 124(d) of the Internal Revenue Code,1,107,1,107
143,9677,TRUMAN,100,0,0,19460114,1946,1,14,79,0,0,"Authorizing the appointment of certain persons at the home of Franklin D. Roosevelt National Historic Site, National Park Service, without regard to the Civil Service rules",20,2005,20,2005
144,9678,TRUMAN,100,0,0,19460114,1946,1,14,79,0,0,"Amendment of Executive Order No. 8743 of April 23, 1941, extending the classified Civil Service",20,2004,20,2004
145,9679,TRUMAN,100,0,0,19460116,1946,1,16,79,0,0,providing for representation of the United States in preparing and prosecuting charges of atrocities and war crimes against the leaders of the European Axis Powers and their principal agents,19,1925,19,1925
146,9680,TRUMAN,100,0,0,19460117,1946,1,17,79,0,0,Abolishing the United States of America Typhus Commission,3,331,3,331
147,9681,TRUMAN,100,0,0,19460117,1946,1,17,79,0,0,Designating the Honorable Jorge L. Cordova as Acting Judge of the District Court of the United States for Puerto Rico,21,2105,21,2105
148,9682,TRUMAN,100,0,0,19460118,1946,1,18,79,0,0,Providing for the furnishing of information and assistance to the Joint Anglo-American Committee of Inquiry on Jewish problems in Palestine and Europe,19,1925,19,1925
149,9683,TRUMAN,100,0,0,19460119,1946,1,19,79,0,0,"Restoring limitations upon punishments for certain violations of Articles of War 58, 59, 61, and 86",16,1608,16,1608
150,9684,TRUMAN,100,0,0,19460123,1946,1,23,79,0,0,"Creating an emergency board to investigate disputes between the Indiana Harbor Belt Railroad, Chicago Junction Railway (The C.R. & I.R.R. Co., Lessee) and Chicago River and Indiana Railroad Company, carriers, and certain of their employees",10,1005,10,1005
151,9685,TRUMAN,100,0,0,19460124,1946,1,24,79,0,0,"Authorizing the Secretary of Agriculture to take possession of an operate certain plants and facilities used in the production, processing, transportation, sale and distribution of livestock, meat, meat products and by-products",16,1610,16,1610
152,9686,TRUMAN,100,0,0,19460126,1946,1,26,79,0,0,Providing for the administration by the Housing Expediter of certain functions relating to housing,14,1407,14,1407
153,9687,TRUMAN,100,0,0,19460126,1946,1,26,79,0,0,Revoking Executive Orders concerning Foreign Service pay adjustments,19,1929,19,1929
154,9688,TRUMAN,100,0,0,19460131,1946,1,31,79,0,0,Amending schedule B of the Civil Service rules,20,2004,20,2004
155,9689,TRUMAN,100,0,0,19460131,1946,1,31,79,0,0,Consolidation of surplus property functions,16,1619,16,1619
156,9690,TRUMAN,100,0,0,19460202,1946,2,2,79,0,0,"Amending Executive Order 9685 authorizing the Secretary of Agriculture to take possession of and operate certain plants and facilities used in the production, processing, transportation, sale and distribution of livestock, meat, meat products and by-produ",16,1610,16,1610
157,9691,TRUMAN,100,0,0,19460204,1946,2,4,79,0,0,"Directing the Civil Service Commission to resume operations under the Civil Service rules, and authorizing the adoption of special regulations during the transition period",20,2004,20,2004
158,9692,TRUMAN,100,0,0,19460205,1946,2,5,79,0,1,"Amending Executive Order 9472 of August 29, 1944, establishing certain awards for the Merchant Marine",10,1007,10,1007
159,9693,TRUMAN,100,0,0,19460205,1946,2,5,79,0,0,"Possession, control, and operation of the transportation systems, plants, and facilities of certain towing and transportation companies operating in New York Harbor and contiguous waters",16,1610,16,1610
160,9694,TRUMAN,100,0,0,19460206,1946,2,6,79,0,0,"Inspection of income, excess-profits, and declared value excess-profits tax returns by the War Contracts Price Adjustment Board",20,2009,20,2009
161,9695,TRUMAN,100,0,0,19460208,1946,2,8,79,0,0,"Revocation of Executive Order No. 9243 of September 11, 1942, providing for the transfer and release of federal personnel",20,2004,20,2004
162,9696,TRUMAN,100,0,0,19460212,1946,2,12,79,0,0,Reinstating Monnett B. Davis in the Foreign Service of the United States,19,1929,19,1929
