id,year,Deflator,amount,chngdllr,pctChng,amount_nominal,TrueCode,majorfunction,subfunction,FunctionName,IsItMajorFunction,IsItSubFunction,IsItSubSubFunction,programmatic,discretionary,mandatory,Congress
26,1947,0.1216,0,,,0,270 TF/R,270,270.1,Energy- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
27,1947,0.1216,468,,,57,271 ESup,270,271,Energy Supply,0,1,0,0,0,0,80
28,1947,0.1216,0,,,0,272 ECon,270,272,Energy Conservation,0,1,0,1,1,0,80
29,1947,0.1216,0,,,0,274 EPrp,270,274,Emergency Energy Preparedness,0,1,0,1,1,0,80
30,1947,0.1216,0,,,0,276 EInf,270,276,"Energy Information, Policy, and Regulation",0,1,0,1,1,0,80
31,1947,0.1216,4638,,,564,300 NatR,300,,Natural Resources,1,0,0,0,0,0,80
32,1947,0.1216,0,,,0,300 TF/R,300,300.1,Natural Resources- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
33,1947,0.1216,2771,,,337,301 Watr,300,301,Water Resources,0,1,0,1,1,0,80
34,1947,0.1216,1463,,,178,302 Land,300,302,Conservation and Land Management,0,1,0,1,1,0,80
35,1947,0.1216,320,,,39,303 Recr,300,303,Recreational Resources,0,1,0,1,1,0,80
36,1947,0.1216,0,,,0,304 Polu,300,304,Pollution Control and Abatement,0,1,0,1,1,0,80
37,1947,0.1216,82,,,10,306 Othr,300,306,Other Natural Resources,0,1,0,1,1,0,80
38,1947,0.1216,5394,,,656,350 Agri,350,,Agriculture,1,0,0,0,0,0,80
39,1947,0.1216,0,,,0,350 TF/R,350,350.1,Agriculture- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
40,1947,0.1216,4177,,,508,351 FInc,350,351,Farm Income Stabilization,0,1,0,1,0,1,80
41,1947,0.1216,1217,,,148,352 AgRe,350,352,Agricultural Research and Services,0,1,0,1,1,0,80
42,1947,0.1216,3930,,,478,370 Comr,370,,Commerce and Housing Credit,1,0,0,0,0,0,80
43,1947,0.1216,0,,,0,370 TF/R,370,370.1,Commerce and Housing Credit- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
44,1947,0.1216,0,,,0,371 Mort,370,371,Mortgage Credit,0,1,0,0,0,0,80
45,1947,0.1216,2138,,,260,372 Post,370,372,Postal Service,0,1,0,0,0,0,80
46,1947,0.1216,0,,,0,373 DepI,370,373,Deposit Insurance,0,1,0,0,0,0,80
47,1947,0.1216,1792,,,218,376 Othr,370,376,Other Advancement of Commerce,0,1,0,1,1,0,80
48,1947,0.1216,6965,,,847,400 TRNS,400,,Transportation,1,0,0,0,0,0,80
49,1947,0.1216,0,,,0,400 TF/R,400,400.1,Transportation- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
50,1947,0.1216,2524,,,307,401 GTrn,400,401,Ground Transportation,0,1,0,1,1,0,80
51,1947,0.1216,1217,,,148,402 AirT,400,402,Air Transportation,0,1,0,1,1,0,80
52,1947,0.1216,3223,,,392,403 WTrn,400,403,Water Transportation,0,1,0,1,1,0,80
53,1947,0.1216,0,,,0,407 OthT,400,407,Other Transportation,0,1,0,1,1,0,80
54,1947,0.1216,139,,,17,450 CDev,450,,Community and Regional Development,1,0,0,0,0,0,80
55,1947,0.1216,0,,,0,450 TF/R,450,450.1,Community and Regional Development- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
56,1947,0.1216,16,,,2,451 CDev,450,451,Community Development,0,1,0,1,1,0,80
57,1947,0.1216,123,,,15,452 RDev,450,452,Area and Regional Development,0,1,0,1,1,0,80
58,1947,0.1216,0,,,0,453 DRef,450,453,Disaster Relief and Insurance,0,1,0,1,1,0,80
59,1947,0.1216,1570,,,191,500 Educ,500,,"Education, Training, Employment, Social Services",1,0,0,0,0,0,80
60,1947,0.1216,0,,,0,500 TF/R,500,500.1,"Education, Training, Employment, Social Services- Trust Fund and Offsetting Receipts",0,0,0,0,0,0,80
61,1947,0.1216,279,,,34,501 ElEd,500,501,"Elementary, Secondary, and Vocational Education",0,1,0,1,1,0,80
62,1947,0.1216,82,,,10,502 HiEd,500,502,Higher Education,0,1,0,1,0,1,80
63,1947,0.1216,222,,,27,503 Resh,500,503,Research and General Education Aids,0,1,0,1,1,0,80
64,1947,0.1216,822,,,100,504 Trng,500,504,Training and Employment,0,1,0,1,1,0,80
65,1947,0.1216,164,,,20,505 Othr,500,505,Other Labor Services,0,1,0,1,1,0,80
66,1947,0.1216,0,,,0,506 SoSv,500,506,Social Services,0,1,0,1,1,0,80
67,1947,0.1216,1389,,,169,550 Heth,550,,Health,1,0,0,0,0,0,80
68,1947,0.1216,0,,,0,550 TF/R,550,550.1,Health- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
69,1947,0.1216,1332,,,162,551 Hlth,550,551,Health Care Services,0,1,0,1,0,1,80
70,1947,0.1216,0,,,0,552 HRes,550,552,Health Research and Training,0,1,0,1,1,0,80
71,1947,0.1216,57,,,7,554 Osha,550,554,Consumer and Occupational Health and Safety,0,1,0,1,1,0,80
72,1947,0.1216,0,,,0,571 MedC,571,,Medicare,1,1,0,1,0,1,80
73,1947,0.1216,22746,,,2766,600 IncS,600,,Income Security,1,0,0,0,0,0,80
74,1947,0.1216,0,,,0,600 TF/R,600,600.1,Income Security- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
75,1947,0.1216,3939,,,479,601 Retr,600,601,General Retirement and Disability Insurance (excluding social security),0,1,0,1,0,1,80
76,1947,0.1216,4465,,,543,602 FedR,600,602,Federal Employee Retirement and  Disability,0,1,0,1,0,1,80
77,1947,0.1216,7878,,,958,603 Unem,600,603,Unemployment compensation,0,1,0,1,0,1,80
78,1947,0.1216,1134,,,138,604 Hous,600,604,Housing assistance,0,1,0,1,1,0,80
79,1947,0.1216,49,,,6,605 Food,600,605,Food and nutrition assistance,0,1,0,1,0,1,80
80,1947,0.1216,5279,,,642,609 Othr,600,609,Other income security,0,1,0,1,0,1,80
81,1947,0.1216,13347,,,1623,651 SSec,651,,Social Security,1,1,0,1,0,1,80
82,1947,0.1216,72212,,,8781,700 Vets,700,,Veterans' Benefits and Services,1,0,0,0,0,0,80
83,1947,0.1216,0,,,0,700 TF/R,700,700.1,Veterans' Benefits and Services- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
84,1947,0.1216,26373,,,3207,701 VetI,700,701,Income Security for Veterans,0,1,0,1,0,1,80
85,1947,0.1216,35896,,,4365,702 VetE,700,702,"Veterans Education, Training, and  Rehabilitation",0,1,0,1,0,1,80
86,1947,0.1216,9942,,,1209,703 Hosp,700,703,Hospital and Medical Care for Veterans,0,1,0,1,1,0,80
87,1947,0.1216,0,,,0,704 VetH,700,704,Veterans Housing,0,1,0,0,0,0,80
88,1947,0.1216,0,,,0,705 VetO,700,705,Other Veterans Benefits and Services,0,1,0,1,1,0,80
89,1947,0.1216,740,,,90,750 Just,750,,Justice Administration,1,0,0,0,0,0,80
90,1947,0.1216,0,,,0,750 TF/R,750,750.1,Justice Administration- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
91,1947,0.1216,452,,,55,751 LawE,750,751,Federal Law Enforcement Activities,0,1,0,1,1,0,80
92,1947,0.1216,131,,,16,752 Liti,750,752,Federal Litigative and Judicial Activities,0,1,0,1,1,0,80
93,1947,0.1216,156,,,19,753 Corr,750,753,Federal Correctional Activities,0,1,0,1,1,0,80
94,1947,0.1216,0,,,0,754 CJst,750,754,Criminal Justice Assistance,0,1,0,1,1,0,80
95,1947,0.1216,11126,,,1353,800 Govt,800,,General Government,1,0,0,0,0,0,80
96,1947,0.1216,230,,,28,801 Lege,800,801,Legislative Functions,0,1,0,1,1,0,80
97,1947,0.1216,57,,,7,802 Exec,800,802,Executive Direction and Management,0,1,0,1,1,0,80
98,1947,0.1216,3873,,,471,803 Fisc,800,803,Central Fiscal Operations,0,1,0,1,1,0,80
99,1947,0.1216,542,,,66,804 Prop,800,804,General Property and Records Management,0,1,0,1,1,0,80
100,1947,0.1216,115,,,14,805 Pers,800,805,Central Personnel Management,0,1,0,1,1,0,80
101,1947,0.1216,896,,,109,806 Asst,800,806,General Purpose Fiscal Assistance,0,1,0,1,1,0,80
102,1947,0.1216,5411,,,658,808 Othr,800,808,Other General Government,0,1,0,1,1,0,80
103,1947,0.1216,0,,,0,809 Dedu,800,809,Deductions for Offsetting Receipts,0,1,0,0,0,0,80
104,1947,0.1216,40773,,,4958,900 NetI,900,,Net Interest,1,0,0,0,0,0,80
105,1947,0.1216,40773,,,4958,901 Inte,900,901,Interest on the Public Debt,0,1,0,1,0,1,80
106,1947,0.1216,0,,,0,902 OnBT,900,902,Interest Received by On-budget Trust Funds,0,1,0,0,0,0,80
107,1947,0.1216,0,,,0,903 OfBT,900,903,Interest Received by Off-budget Trust Funds,0,1,0,0,0,0,80
108,1947,0.1216,0,,,0,908 Othr,900,908,Other Interest,0,1,0,0,0,0,80
109,1947,0.1216,0,,,0,909 Invst,900,909,Other Investment Income,0,1,0,0,0,0,80
110,1947,0.1216,0,,,0,950 Undt,950,,Undistributed Offsetting Receipts,1,0,0,0,0,0,80
111,1947,0.1216,0,,,0,951 EmpO,950,951,"Employer Share, Employee Retirement (On-budget)",0,1,0,0,0,0,80
112,1947,0.1216,0,,,0,952 EmpF,950,952,"Employer Share, Employee Retirement (Off-budget)",0,1,0,0,0,0,80
113,1947,0.1216,0,,,0,953 Rent,950,953,Rents and Royalties on the Outer Continental Shelf,0,1,0,0,0,0,80
114,1947,0.1216,0,,,0,954 Sale,950,954,Sale of Major Assets,0,1,0,0,0,0,80
115,1947,0.1216,0,,,0,959 Recp,950,959,Other Undistributed Offsetting Receipts,0,1,0,0,0,0,80
116,1948,0.1331,261803,-49323.5,-15.8531725,34846,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,80
117,1948,0.1331,75927,-42682.3,-35.98541438,10106,050 Defs,50,,National Defense,1,0,0,0,0,0,80
118,1948,0.1331,0,0,,0,050 TF/R,50,50.1,National Defense- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
119,1948,0.1331,74575,-43763.3,-36.98129949,9926,051-Mil,50,51,Department of Defense-Military,0,1,0,1,1,0,80
120,1948,0.1331,0,0,,0,051-MilP,50,51.1,Department of Defense-Military- Military Personnel,0,0,1,1,1,0,80
121,1948,0.1331,0,0,,0,051-O&M,50,51.2,Department of Defense-Military- Operation and Maintenance,0,0,1,1,1,0,80
122,1948,0.1331,0,0,,0,051-Proc,50,51.3,Department of Defense-Military- Procurement,0,0,1,1,1,0,80
123,1948,0.1331,0,0,,0,051-RDTE,50,51.4,"Department of Defense-Military- Research, Development, Test, and Evaluation",0,0,1,1,1,0,80
124,1948,0.1331,0,0,,0,051-MlCn,50,51.5,Department of Defense-Military- Military Construction,0,0,1,1,1,0,80
125,1948,0.1331,0,0,,0,051-FamH,50,51.6,Department of Defense-Military- Family Housing,0,0,1,1,1,0,80
126,1948,0.1331,0,0,,0,051-Othr,50,51.9,Department of Defense-Military- Other,0,0,1,1,1,0,80
127,1948,0.1331,1314,1314.8,,175,053 Atom,50,53,Atomic Energy Defense Activities,0,1,0,1,1,0,80
128,1948,0.1331,37,-233.816,-86.27896679,5,054 Drel,50,54,Defense-related Activities,0,1,0,1,1,0,80
129,1948,0.1331,19624,12552,177.4886878,2612,150 IAff,150,,International Affairs,1,0,0,0,0,0,80
130,1948,0.1331,0,0,,0,150 TF/R,150,150.1,International Affairs- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
131,1948,0.1331,0,0,,0,151 IDev,150,151,International Development and Humanitarian Assistance,0,1,0,1,1,0,80
132,1948,0.1331,17069,11107.7,186.3082858,2272,152 ISec,150,152,International Security Assistance,0,1,0,1,1,0,80
133,1948,0.1331,2554,1444.27,130.1144144,340,153 forn,150,153,Conduct of Foreign Affairs,0,1,0,1,1,0,80
134,1948,0.1331,0,0,,0,154 Info,150,154,Foreign Information and Exchange Activities,0,1,0,1,1,0,80
135,1948,0.1331,0,0,,0,155 IFin,150,155,International Financial Programs,0,1,0,0,0,0,80
136,1948,0.1331,0,0,,0,250 Scie,250,,"Science, Space, and Technology",1,0,0,0,0,0,80
137,1948,0.1331,0,0,,0,250 TF/R,250,250.1,"Science, Space, and Technology- Trust Fund and Offsetting Receipts",0,0,0,0,0,0,80
138,1948,0.1331,0,0,,0,251 Sci,250,251,General Science and Basic Research,0,1,0,1,1,0,80
139,1948,0.1331,0,0,,0,252 Spc,250,252,"Space Flight, Research, and Supporting Activities",0,1,0,1,1,0,80
140,1948,0.1331,262,-205.79,-43.97222222,35,270 Ener,270,,Energy,1,0,0,0,0,0,80
141,1948,0.1331,0,0,,0,270 TF/R,270,270.1,Energy- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
142,1948,0.1331,262,-205.79,-43.97222222,35,271 ESup,270,271,Energy Supply,0,1,0,0,0,0,80
143,1948,0.1331,0,0,,0,272 ECon,270,272,Energy Conservation,0,1,0,1,1,0,80
144,1948,0.1331,0,0,,0,274 EPrp,270,274,Emergency Energy Preparedness,0,1,0,1,1,0,80
145,1948,0.1331,0,0,,0,276 EInf,270,276,"Energy Information, Policy, and Regulation",0,1,0,1,1,0,80
146,1948,0.1331,4921,282.954,6.100776197,655,300 NatR,300,,Natural Resources,1,0,0,0,0,0,80
147,1948,0.1331,0,0,,0,300 TF/R,300,300.1,Natural Resources- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
148,1948,0.1331,3613,842.443,30.4021292,481,301 Watr,300,301,Water Resources,0,1,0,1,1,0,80
149,1948,0.1331,991,-472.08,-32.26794258,132,302 Land,300,302,Conservation and Land Management,0,1,0,1,1,0,80
150,1948,0.1331,232,-87.8161,-27.44253125,31,303 Recr,300,303,Recreational Resources,0,1,0,1,1,0,80
151,1948,0.1331,0,0,,0,304 Polu,300,304,Pollution Control and Abatement,0,1,0,1,1,0,80
152,1948,0.1331,82,0.407786,0.4973,11,306 Othr,300,306,Other Natural Resources,0,1,0,1,1,0,80
153,1948,0.1331,4853,-541.243,-10.03416759,646,350 Agri,350,,Agriculture,1,0,0,0,0,0,80
154,1948,0.1331,0,0,,0,350 TF/R,350,350.1,Agriculture- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
155,1948,0.1331,3681,-496.189,-11.87907589,490,351 FInc,350,351,Farm Income Stabilization,0,1,0,1,0,1,80
156,1948,0.1331,1172,-45.0542,-3.702070666,156,352 AgRe,350,352,Agricultural Research and Services,0,1,0,1,1,0,80
157,1948,0.1331,3290,-640.162,-16.28910941,438,370 Comr,370,,Commerce and Housing Credit,1,0,0,0,0,0,80
158,1948,0.1331,0,0,,0,370 TF/R,370,370.1,Commerce and Housing Credit- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
159,1948,0.1331,45,45.0789,,6,371 Mort,370,371,Mortgage Credit,0,1,0,0,0,0,80
160,1948,0.1331,2329,190.918,8.929747428,310,372 Post,370,372,Postal Service,0,1,0,0,0,0,80
161,1948,0.1331,0,0,,0,373 DepI,370,373,Deposit Insurance,0,1,0,0,0,0,80
162,1948,0.1331,916,-876.159,-48.89280134,122,376 Othr,370,376,Other Advancement of Commerce,0,1,0,1,1,0,80
163,1948,0.1331,7257,292.24,4.195836324,966,400 TRNS,400,,Transportation,1,0,0,0,0,0,80
164,1948,0.1331,0,0,,0,400 TF/R,400,400.1,Transportation- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
165,1948,0.1331,2231,-293.266,-11.61909667,297,401 GTrn,400,401,Ground Transportation,0,1,0,1,1,0,80
166,1948,0.1331,1247,30.0773,2.471429745,166,402 AirT,400,402,Air Transportation,0,1,0,1,1,0,80
167,1948,0.1331,3779,555.429,17.23329196,503,403 WTrn,400,403,Water Transportation,0,1,0,1,1,0,80
168,1948,0.1331,0,0,,0,407 OthT,400,407,Other Transportation,0,1,0,1,1,0,80
169,1948,0.1331,60,-79.6974,-57.33625899,8,450 CDev,450,,Community and Regional Development,1,0,0,0,0,0,80
170,1948,0.1331,0,0,,0,450 TF/R,450,450.1,Community and Regional Development- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
171,1948,0.1331,15,-1.42107,-8.8816875,2,451 CDev,450,451,Community Development,0,1,0,1,1,0,80
172,1948,0.1331,45,-78.2764,-63.63934959,6,452 RDev,450,452,Area and Regional Development,0,1,0,1,1,0,80
173,1948,0.1331,0,0,,0,453 DRef,450,453,Disaster Relief and Insurance,0,1,0,1,1,0,80
174,1948,0.1331,811,-759.304,-48.3633121,108,500 Educ,500,,"Education, Training, Employment, Social Services",1,0,0,0,0,0,80
175,1948,0.1331,0,0,,0,500 TF/R,500,500.1,"Education, Training, Employment, Social Services- Trust Fund and Offsetting Receipts",0,0,0,0,0,0,80
176,1948,0.1331,323,43.4601,15.57709677,43,501 ElEd,500,501,"Elementary, Secondary, and Vocational Education",0,1,0,1,1,0,80
177,1948,0.1331,90,7.92093,9.659670732,12,502 HiEd,500,502,Higher Education,0,1,0,1,0,1,80
178,1948,0.1331,180,-41.7239,-18.79454955,24,503 Resh,500,503,Research and General Education Aids,0,1,0,1,1,0,80
179,1948,0.1331,82,-739.724,-89.99075426,11,504 Trng,500,504,Training and Employment,0,1,0,1,1,0,80
180,1948,0.1331,135,-29.237,-17.82743902,18,505 Othr,500,505,Other Labor Services,0,1,0,1,1,0,80
181,1948,0.1331,0,0,,0,506 SoSv,500,506,Social Services,0,1,0,1,1,0,80
182,1948,0.1331,1359,-29.9228,-2.154269258,181,550 Heth,550,,Health,1,0,0,0,0,0,80
183,1948,0.1331,0,0,,0,550 TF/R,550,550.1,Health- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
184,1948,0.1331,1329,-2.40964,-0.180903904,177,551 Hlth,550,551,Health Care Services,0,1,0,1,0,1,80
185,1948,0.1331,0,0,,0,552 HRes,550,552,Health Research and Training,0,1,0,1,1,0,80
186,1948,0.1331,30,-27.5132,-48.26877193,4,554 Osha,550,554,Consumer and Occupational Health and Safety,0,1,0,1,1,0,80
187,1948,0.1331,0,0,,0,571 MedC,571,,Medicare,1,1,0,1,0,1,80
188,1948,0.1331,25507,2760.43,12.13589202,3395,600 IncS,600,,Income Security,1,0,0,0,0,0,80
189,1948,0.1331,0,0,,0,600 TF/R,600,600.1,Income Security- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
190,1948,0.1331,6874,2935.39,74.52119827,915,601 Retr,600,601,General Retirement and Disability Insurance (excluding social security),0,1,0,1,0,1,80
191,1948,0.1331,3666,-799.044,-17.89572228,488,602 FedR,600,602,Federal Employee Retirement and  Disability,0,1,0,1,0,1,80
192,1948,0.1331,7716,-162.286,-2.059989845,1027,603 Unem,600,603,Unemployment compensation,0,1,0,1,0,1,80
193,1948,0.1331,1089,-45.462,-4.008994709,145,604 Hous,600,604,Housing assistance,0,1,0,1,1,0,80
194,1948,0.1331,525,476.578,972.6081633,70,605 Food,600,605,Food and nutrition assistance,0,1,0,1,0,1,80
195,1948,0.1331,5634,355.256,6.72960788,750,609 Othr,600,609,Other income security,0,1,0,1,0,1,80
196,1948,0.1331,13576,229.219,1.717382183,1807,651 SSec,651,,Social Security,1,1,0,1,0,1,80
197,1948,0.1331,55379,-16832.8,-23.31025314,7371,700 Vets,700,,Veterans' Benefits and Services,1,0,0,0,0,0,80
198,1948,0.1331,0,0,,0,700 TF/R,700,700.1,Veterans' Benefits and Services- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
199,1948,0.1331,19849,-6523.62,-24.73597998,2642,701 VetI,700,701,Income Security for Veterans,0,1,0,1,0,1,80
200,1948,0.1331,28595,-7301.34,-20.34026075,3806,702 VetE,700,702,"Veterans Education, Training, and  Rehabilitation",0,1,0,1,0,1,80
201,1948,0.1331,6934,-3007.8,-30.25347013,923,703 Hosp,700,703,Hospital and Medical Care for Veterans,0,1,0,1,1,0,80
202,1948,0.1331,0,0,,0,704 VetH,700,704,Veterans Housing,0,1,0,0,0,0,80
203,1948,0.1331,0,0,,0,705 VetO,700,705,Other Veterans Benefits and Services,0,1,0,1,1,0,80
204,1948,0.1331,758,18.6964,2.526540541,101,750 Just,750,,Justice Administration,1,0,0,0,0,0,80
205,1948,0.1331,0,0,,0,750 TF/R,750,750.1,Justice Administration- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,80
206,1948,0.1331,458,5.9994,1.327300885,61,751 LawE,750,751,Federal Law Enforcement Activities,0,1,0,1,1,0,80
207,1948,0.1331,150,18.684,14.26259542,20,752 Liti,750,752,Federal Litigative and Judicial Activities,0,1,0,1,1,0,80
208,1948,0.1331,150,-5.98704,-3.837846154,20,753 Corr,750,753,Federal Correctional Activities,0,1,0,1,1,0,80
209,1948,0.1331,0,0,,0,754 CJst,750,754,Criminal Justice Assistance,0,1,0,1,1,0,80
210,1948,0.1331,8805,-2321.24,-20.86320331,1172,800 Govt,800,,General Government,1,0,0,0,0,0,80
211,1948,0.1331,270,40.2102,17.48269565,36,801 Lege,800,801,Legislative Functions,0,1,0,1,1,0,80
212,1948,0.1331,60,2.53939,4.455070175,8,802 Exec,800,802,Executive Direction and Management,0,1,0,1,1,0,80
213,1948,0.1331,3395,-477.412,-12.32667183,452,803 Fisc,800,803,Central Fiscal Operations,0,1,0,1,1,0,80
214,1948,0.1331,518,-24.3559,-4.493708487,69,804 Prop,800,804,General Property and Records Management,0,1,0,1,1,0,80
215,1948,0.1331,127,12.5919,10.94947826,17,805 Pers,800,805,Central Personnel Management,0,1,0,1,1,0,80
216,1948,0.1331,1404,508.577,56.76082589,187,806 Asst,800,806,General Purpose Fiscal Assistance,0,1,0,1,1,0,80
217,1948,0.1331,3027,-2383.39,-44.04712622,403,808 Othr,800,808,Other General Government,0,1,0,1,1,0,80
218,1948,0.1331,0,0,,0,809 Dedu,800,809,Deductions for Offsetting Receipts,0,1,0,0,0,0,80
219,1948,0.1331,39406,-1366.57,-3.351654281,5245,900 NetI,900,,Net Interest,1,0,0,0,0,0,80
220,1948,0.1331,38978,-1794.81,-4.401957178,5188,901 Inte,900,901,Interest on the Public Debt,0,1,0,1,0,1,80
221,1948,0.1331,0,0,,0,902 OnBT,900,902,Interest Received by On-budget Trust Funds,0,1,0,0,0,0,80
222,1948,0.1331,0,0,,0,903 OfBT,900,903,Interest Received by Off-budget Trust Funds,0,1,0,0,0,0,80
223,1948,0.1331,428,428.249,,57,908 Othr,900,908,Other Interest,0,1,0,0,0,0,80
224,1948,0.1331,0,0,,0,909 Invst,900,909,Other Investment Income,0,1,0,0,0,0,80
225,1948,0.1331,0,0,,0,950 Undt,950,,Undistributed Offsetting Receipts,1,0,0,0,0,0,80
226,1948,0.1331,0,0,,0,951 EmpO,950,951,"Employer Share, Employee Retirement (On-budget)",0,1,0,0,0,0,80
227,1948,0.1331,0,0,,0,952 EmpF,950,952,"Employer Share, Employee Retirement (Off-budget)",0,1,0,0,0,0,80
228,1948,0.1331,0,0,,0,953 Rent,950,953,Rents and Royalties on the Outer Continental Shelf,0,1,0,0,0,0,80
229,1948,0.1331,0,0,,0,954 Sale,950,954,Sale of Major Assets,0,1,0,0,0,0,80
230,1948,0.1331,0,0,,0,959 Recp,950,959,Other Undistributed Offsetting Receipts,0,1,0,0,0,0,80
231,1949,0.1375,302349,40545.9,15.48717929,41573,Totl BA,0,0,Total Budget Authority,0,0,0,0,0,0,81
232,1949,0.1375,83592,7664.85,10.09502549,11494,050 Defs,50,,National Defense,1,0,0,0,0,0,81
233,1949,0.1375,0,0,,0,050 TF/R,50,50.1,National Defense- Trust Fund and Offsetting Receipts,0,0,0,0,0,0,81
234,1949,0.1375,76356,1780.86,2.388012068,10499,051-Mil,50,51,Department of Defense-Military,0,1,0,1,1,0,81
235,1949,0.1375,0,0,,0,051-MilP,50,51.1,Department of Defense-Military- Military Personnel,0,0,1,1,1,0,81
236,1949,0.1375,0,0,,0,051-O&M,50,51.2,Department of Defense-Military- Operation and Maintenance,0,0,1,1,1,0,81
237,1949,0.1375,0,0,,0,051-Proc,50,51.3,Department of Defense-Military- Procurement,0,0,1,1,1,0,81
238,1949,0.1375,0,0,,0,051-RDTE,50,51.4,"Department of Defense-Military- Research, Development, Test, and Evaluation",0,0,1,1,1,0,81
239,1949,0.1375,0,0,,0,051-MlCn,50,51.5,Department of Defense-Military- Military Construction,0,0,1,1,1,0,81
240,1949,0.1375,0,0,,0,051-FamH,50,51.6,Department of Defense-Military- Family Housing,0,0,1,1,1,0,81
241,1949,0.1375,0,0,,0,051-Othr,50,51.9,Department of Defense-Military- Other,0,0,1,1,1,0,81
242,1949,0.1375,4523,3208.84,244.2039574,622,053 Atom,50,53,Atomic Energy Defense Activities,0,1,0,1,1,0,81
243,1949,0.1375,2712,2675.16,7230.162162,373,054 Drel,50,54,Defense-related Activities,0,1,0,1,1,0,81
